company_name(s),url,original_error,resolution
"Oughterard / Clann / Corrib Parent, Baby & Toddler Group",http://clannrescentre.com/activities/children-activities/corrib-baby-and-toddler/,HTTP Error 400: Bad Request,"LIKELY DEAD - no info found, needs manual research"
Bushy Park Tennis Academy,http://www.bushytennispadel.ie/index.aspx,HTTP Error 404: Not Found,"LIKELY DEAD - was archived as recently as 20250908, worth a manual look"
Kellystown Riding School,http://www.kellystownridingschool.com/,HTTP Error 403: Forbidden,"LIKELY DEAD - no info found, needs manual research"
National Gallery of Ireland,https://National%20Concert%20Hall,URL can't contain control characters. 'National Concert Hall' (found at least ' '),"LIKELY DEAD - no info found, needs manual research"
Finglas Baby & Toddler Groups /Breastfeeding /Baby Massage,https://4familiesinfinglas.ie/st-helenas-family-resource-centre/,"<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '4familiesinfinglas.ie'. (_ssl.c:1082)>","LIKELY DEAD - no info found, needs manual research"
Study Skills course (online),https://Emeraldeducationcentrebundoran.com.com,HTTP Error 403: Forbidden,"LIKELY DEAD - no info found, needs manual research"
(already updated),https://buytickets.at/bumpsbainne/2252232,HTTP Error 403: Forbidden,"LIKELY DEAD - no info found, needs manual research"
Clonmel & Cashel Parent and Baby Group,https://clonmelcommunitymother.ie/mother-baby-parent-toddler/,HTTP Error 404: Not Found,"LIKELY DEAD - was archived as recently as 20250804, worth a manual look"
"Clonmel / Cahir Parent, Baby & Toddler Group",https://clonmelcommunitymother.ie/mother-baby-parent-toddler/?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExdEpvak95U0xFbkJad1RSWQEeeoNimM8kgjZpnmCbCqxXTN_kmMX7SvQ0rjk1hxeWTf5a0nb_9yOIqHQLLiA_aem_6r8M0595DRJfrCoaLCSF5g,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
Deerpark Tennis Club,https://clubspark.net/deerparkTennisClub,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
"Glenties Parent, Baby and Toddler Group",https://downstrandsfrc.ie/glenties-parent-toddler-group/,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
"Downstrands Parent, Baby and Toddler Group",https://downstrandsfrc.ie/downstrands-parent-toddler-group/,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
"Enniskerry Parent, Baby and Toddler Group",https://enniskerry.ie/g/mums-n-tots/,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
Callan Kilkenny - Baby & Toddler Group- Droichead Family Resource Centre,https://droicheadfrc.ie/,HTTP Error 503: Service Temporarily Unavailable,"LIKELY DEAD - no info found, needs manual research"
Toddler Group Tallaght,https://facebook.com/killinardenFRC,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
First Swim,https://firstswim.ie/contact-us/,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
"Knockanrawley Parent, Baby & Toddler Group",https://knockanrawley.ie/community-programme/,HTTP Error 500: Internal Server Error,"LIKELY DEAD - no info found, needs manual research"
Balcultry Stables,https://balcultrystables.ie/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
Mucky Picnic,https://muckypicnic.com,"<urlopen error [Errno 8] nodename nor servname provided, or not known>","LIKELY DEAD - no info found, needs manual research"
Raphoe Family Resource Centre Toddler Group,https://raphoefrc.ie/little-smiles-with-big-dreams-toddler-group-2,HTTP Error 404: Not Found,"LIKELY DEAD - was archived as recently as 20250519, worth a manual look"
Monaghan Toddler Group - Teach Na nDaoine,https://teachnadaoinefrc.com/our-supports/,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
"Sligo Parent, Baby and Toddler Group",https://sligofamilyresourcecentre.org/parent-and-toddler-group/,HTTP Error 404: Not Found,"LIKELY DEAD - was archived as recently as 20260122, worth a manual look"
(already updated),https://courses.inss.ie/contact-us/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
"Tallaght Parent, Baby and Toddler Group -St Kevin's Family Resource Centre",https://stkevinsfrc.ie/support/parent-toddler-group/,HTTP Error 500: Internal Server Error,"LIKELY DEAD - no info found, needs manual research"
"Gorey Parent, Baby and Toddler Group",https://gyng.ie/wp/yolos/parent-and-toddler/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://kylejamesriley.com/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
"Glengoole Parent, Baby & Toddler Group",https://mfrc.ie/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/ballyhea-parent-baby-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/carrigaline-parent-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/clondalkin-parent-baby-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/corramartin-aughnasheelin-baby-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/craughwell-parent-baby-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/little-learners-holistics/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/messy-play-limerick-tipperary/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/mooncoin-kilkenny-baby-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/moyvane-parent-baby-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/north-wexford-parent-and-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/philipstown-baby-and-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/rathanna-parent-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/renmore-parent-baby-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/rockchapel-baby-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/sandyford-parent-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/shanakill-parent-baby-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
(already updated),https://totsspots.com/listing/shercock-parent-baby-and-toddler-group/,The read operation timed out,"FALSE ALARM - confirmed alive on retry, no action needed"
BabyGrá - Baby Massage & Yoga Cork,https://www.babygra.ie,HTTP Error 403: Forbidden,"LIKELY DEAD - no info found, needs manual research"
Bloomfield Health & Leisure Club,https://www.bloomfieldhousehotel.ie/swim-lessons.html,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
Creation Cup,https://www.creationcup.ie,"<urlopen error [Errno 8] nodename nor servname provided, or not known>","NEEDS MANUAL CHECK - possible alternate domain found (weak signal only, wayback last seen 20240901)"
Debbie Allen Dance School,https://www.debbieallendanceschool.com/contact.html,"<urlopen error [Errno 8] nodename nor servname provided, or not known>","LIKELY DEAD - no info found, needs manual research"
Dimples Baby Massage,https://www.dimplesbabymassage.com/,"<urlopen error [Errno 8] nodename nor servname provided, or not known>","LIKELY DEAD - was archived as recently as 20230329, worth a manual look"
"Belcarra Parent, Baby and Toddler Group",https://www.belcarra.ie/community-futures/,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
(already updated),https://www.dublincity.ie/events/toddler-storytime-phibsboro-library,HTTP Error 403: Forbidden,"LIKELY DEAD - no info found, needs manual research"
FREE Parent and Toddler Groups (Dundalk and Drogheda),https://www.facebook.com/LouthABCProgramme/,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Carrickmacross Parents & Tots,https://www.facebook.com/ParentsTotsCBC/,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Dad and Baby Massage with Melanie Murphy Infant Massage,https://www.facebook.com/profile.php?id=100086975242986&sk=about,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Tummy Time for babies,https://www.facebook.com/profile.php?id=61550026827173,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Enfield Parent & Toddler Group,https://www.facebook.com/groups/306898116445743/discussion/preview,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Kentstown Parent & Toddler Group,https://www.facebook.com/p/Kentstown-Toddler-and-Baby-Group-100067292811547/,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Castleisland Parent and Toddler Group in Kerry,https://www.facebook.com/castleislandparentandtoddlergroup/about,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Music 4 Tots,https://www.facebook.com/musicmovement4tots/,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
"Killybegs Parent, Baby and Toddler Group",https://www.facebook.com/profile/100064632253690/search/?q=toddler,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Sense of Wonder Sensory Play,https://www.facebook.com/profile.php?id=61564788114218,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Balbriggan baby and toddler group,https://www.facebook.com/share/twcnxn7mpYaHLXCj/,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Baby Massage with Kathryn,https://www.facebook.com/share/1BVRyYhpbW/%20https://www.instagram.com/katarchard_infantmassage?igsh=MXhoaGppanNicTR0OQ==,HTTP Error 404: Not Found,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Nurture and Play,https://www.facebook.com/profile.php?id=61565478435216,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Suzuki Violin and Fiddle Classes with Caitriona,https://www.facebook.com/suzukiviolinennis,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Summerhill Baby and Toddler Group,https://www.facebook.com/summerhillbabyandtoddlergroup/,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Watergrasshill Playgroup,https://www.facebook.com/share/577zzhoQSn4Hu6GA/,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Universal Rhythmic Gymnastics Club -Salthill,https://www.facebook.com/profile.php?id=61566883178839,HTTP Error 400: Bad Request,"PROBABLY FINE - Facebook blocks automated checks, not a real signal of deadness"
Parent and Toddler Lego Class,https://www.bricks4kidz.ie/fingal/parent-toddler-classes-malahide/,HTTP Error 410: Gone,"LIKELY DEAD - no info found, needs manual research"
KidCREATE Arts & Crafts,https://www.kidcreate.ie,HTTP Error 404: Not Found,"NEEDS MANUAL CHECK - possible alternate domain found (weak signal only, wayback last seen 20250305)"
"Lecanvey Parent, Baby and Toddler Group",https://www.lecanveycommunitycentre.ie/events/toddler-parent-group/,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
(already updated),https://www.independent.ie/regionals/wexford/enniscorthy-news/localnotes/around-the-districts-bree-galbally-to-kiltealy-ballindaggin/a1010161768.html,HTTP Error 403: Forbidden,"LIKELY DEAD - no info found, needs manual research"
Alix Gardner's Cookery School,https://www.dublincookery.com/cookery-workshops-for-children/,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
Little Kickers,https://www.littlekickers.ie/index,HTTP Error 404: Not Found,"LIKELY DEAD - was archived as recently as 20260415, worth a manual look"
Dungloe Letterkenny Outdoor Toddler Group,https://www.playmatters.ie/,"<urlopen error [Errno 8] nodename nor servname provided, or not known>","NEEDS MANUAL CHECK - possible alternate domain found (weak signal only, wayback last seen 20240908)"
"Dunlavin Parent, Baby and Toddler Group",https://www.kildaresteinerschool.ie/siologa-parent-and-child-programme/,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
ZenDen,https://www.zendenstudio.ie/,"<urlopen error [Errno 8] nodename nor servname provided, or not known>","NEEDS MANUAL CHECK - possible alternate domain found (weak signal only, never archived)"
"Turtle Tots Swimming Classes - Wexford/Wicklow, Turtle Tots Swimming Classes, Turtle Tots Swimming Classes - Kerry, Turtle Tots Swimming Classes /Louth/Limerick/Laois/Waterford, Turtle Tots Swimming Classes - Cork, Turtle Tots Swimming Classes -Mayo/Monaghan/Sligo",https://www.turtletots.ie/licensee/turtle-tots-ireland/,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
Turtle Tots Dublin,https://www.turtletots.ie/licensee/turtle-tots-dublin/,HTTP Error 404: Not Found,"LIKELY DEAD - no info found, needs manual research"
