company_name,category,address,website_url,phone_number,email_address
Little Ones Playgroup,Baby & Toddler Group,"Knockglass, County Cork, P25 HC94, Ireland",https://totsspots.com/listing/little-ones-playgroup/,,littleonesladysbridge@gmail.com
North Wexford Parent and Toddler Group,Baby & Toddler Group,"Borleagh, Killinierin, County Wexford, Y25 P954, Ireland",https://totsspots.com/listing/north-wexford-parent-and-toddler-group/,,annamariemasterson@gmail.com
ParentsFirst Community Families Baby Cafe,Baby & Toddler Group,"Frankford, County Offaly, R42 X894, Ireland",https://totsspots.com/listing/parentsfirst-community-families-baby-cafe/,0858673434,
Play group in Irish/Gaeilge,Baby & Toddler Group,"Ballina, County Mayo, F26 R299, Ireland",https://totsspots.com/listing/play-group-in-irish-gaeilge/,,aoifenic@glornangael.ie
Bloom Baby Classes North West Ireland,"Baby & Toddler Group, Baby Massage, Sensory/Messy Play, Movement & Play",Kids connect sligo,https://www.bloombabyclasses.com/north-west-ireland/,089 4082728,trish@bloombabyclasses.com
Gort Parent & Toddler Group,"Baby & Toddler Group, Playgroups, Breast Feeding, For Parents","Bolands Lane, Ballyhugh, Gort, County Galway, Ireland Coole Park, Galway, Ireland Church St, Ballyhugh, Gort, Co. Galway, Ireland",https://totsspots.com/listing/gort-parent-baby-toddler-group/,,
The Extra Special Parent & Toddler Group,"Baby & Toddler Group, Playgroups, Dance, Breast Feeding, Baby Massage, Language, Sign Language, Yoga & Wellness, Horse Riding, First Aid, Weaning, Sensory/Messy Play, Wheelchair & Para, Movement & Play, Social, For Parents","Leitrim, County Leitrim, Ireland",https://totsspots.com/listing/the-extra-special-parent-toddler-group/,0877437262,extraspecialptg@gmail.com
Scariff Baby & Toddler Groups / Kids Book Club - Scariff Library,"Baby & Toddler Group, Playgroups, Storytime, Reading/Writing","Ballyminoge, County Clare, V94 NY33, Ireland",https://clarelibraries.ie/events/?event_page=3&event_cs_location=scariff-library,061 922983,scarriff_library@clarecoco.ie
Portumna Library - Toddler (up to 5) Storytime / Lego Group,"Baby & Toddler Group, Storytime, STEM, Reading/Writing","Portumna Demesne, County Galway, H53 AE06, Ireland",https://galway.spydus.ie./cgi-bin/spydus.exe/MSGTRN/WPAC/HOME,,portumna@galwaylibrary.ie
Baby Massage Class in Shannon Co Clare,Baby Massage,"Rinneanna View, Ballycasey More, Shannon, Co. Clare, Ireland",https://totsspots.com/listing/baby-massage-class-shannon-clare/,0838258888,rachelkeogh2005@gmail.com
Baby Massage Classes Newmarket on Fergus,Baby Massage,"Lisduff, County Clare, V95 F70K, Ireland",https://totsspots.com/listing/baby-massage-classes-newmarket-on-fergus/,086 855 2307,siobhanmeehan78@gmail.com
Baby Massage in Portlaoise with Oxana Murray,Baby Massage,"Knockmay, Portlaoise, County Laois, R32 C7DD, Ireland",https://totsspots.com/listing/baby-massage-in-portlaoise-with-oxana-murray/,089 479 9695,oxanamamasvillage@gmail.com
Baby Massage Oranmore,Baby Massage,"Oranmore, County Galway, Ireland",https://totsspots.com/listing/baby-massage-oranmore/,086 890 3064,eburkeslt@gmail.com
Baby Massage Sinead Grace,Baby Massage,"Birr, County Offaly, Ireland Toomevara, County Tipperary, Ireland",https://totsspots.com/listing/baby-massage-sinead-grace/,0862514700,sineadgrace11@gmail.com
Baby Massage with Kathryn,Baby Massage,"Portumna, County Galway, Ireland Nenagh, County Tipperary, Ireland",https://www.facebook.com/share/1BVRyYhpbW/%20https://www.instagram.com/katarchard_infantmassage?igsh=MXhoaGppanNicTR0OQ==,0857207677,katarchard@gmail.com
Baby Massage with Orla,Baby Massage,"Moynehall, County Cavan, H12 W5D4, Ireland",https://totsspots.com/listing/babymassagewithorla/,087 3933163,orla.oconnor3@hotmail.com
Butterfly Bambino’s - Baby Massage,Baby Massage,"Glen, County Limerick, V94 7W13, Ireland",https://totsspots.com/listing/butterfly-bambinos-baby-massage-limerick/,,butterflybambinos@outlook.ie
Edel's Baby Massage in Portlaoise🌈,Baby Massage,"Parish Office, Dublin Road, Maryborough, Portlaoise, County Laois, Ireland",https://totsspots.com/listing/edels-baby-massage-portlaoise/,087-6982073,carolle@tcd.ie
elainesgiftoftouch,Baby Massage,"Claggarnagh West, County Mayo, F23 EN81, Ireland",https://elainesgiftoftouch.ie/infant-massage/,,
Gentle Beginnings Baby Massage Kilkenny,Baby Massage,"Smithsland South, Kilkenny, R95 H1WT, Ireland",https://www.instagram.com/gentlebeginningskilkenny,0857205899,gentlebeginningskilkenny@gmail.com
Gentle Touch Baby Massage with Roisin,Baby Massage,"Roscrea, County Tipperary, Ireland",https://totsspots.com/listing/gentle-touch-baby-massage-with-roisin/,0862384191,roisinkelly2009@hotmail.com
Lasting Touch Baby Massage,Baby Massage,"Loughlackagh, County Roscommon, N37 HT68, Ireland Athlone, County Westmeath, N37 W7P3, Ireland Craughwell, County Galway, H91 X028, Ireland",https://totsspots.com/listing/lasting-touch-baby-massage/,,lastingtouchbabymassage@gmail.com
Little Laochra Baby Massage Roscommon,Baby Massage,"Roscommon, Ireland",https://www.instagram.com/little_laochra/,0877479400,
Little Lullabies Baby Massage,Baby Massage,"Carlow, R93 DK06, Ireland",https://totsspots.com/listing/little-lullabies-baby-massage/,0877599221,eileennail76@gmail.come
Longford Baby Massage,Baby Massage,"Townparks, Longford, Ireland",https://longfordparish.com/familycentre.htm,0860442354,
Midwife For You,Baby Massage,"New House, Ballyheyland, Portlaoise, Co. Laois, Ireland",https://www.midwifeforyou.com/,0852692847,helenmidwifeforyou@gmail.com
Moo Music Monaghan,Baby Massage,"Kilmactrasna, County Monaghan, A81 NY04, Ireland",https://moomusic.app/,0858586294,susanalicemallon@gmail.com
Zen Baby by Grace,Baby Massage,"Ardgeeha Upper, Clonmel, County Tipperary, E91 Y5Y0, Ireland",https://totsspots.com/listing/zen-baby-by-grace/,0863770022,graceokeeffe@yahoo.co.uk
Elaines Gift of Touch,"Baby Massage, For Parents","Claggarnagh West, County Mayo, F23 EN81, Ireland",https://elainesgiftoftouch.ie,,elainesgot@gmail.com
Little Learners Holistics,"Baby Massage, For Parents","Galtee View, Mulberry Rd, Brigown, Mitchelstown, Co. Cork, Ireland",https://totsspots.com/listing/little-learners-holistics/,,littlelearnerssmp@gmail.com
Kingscourt Mum and Baby Group,"Baby Massage, For Parents, Baby & Toddler Group","Dunaree Lane, Dunaree, Kingscourt, Co. Cavan, Ireland",https://totsspots.com/listing/kingscourt-mum-baby-group/,,
Carndonagh Inishowen Toddler Group and More - Spraoi agus Sport,"Baby Massage, STEM, First Aid, Weaning, Reading/Writing, Social, For Parents, Baby & Toddler Group, Playgroups, Music, Breast Feeding","Churchland Quarters(Carrowtemple Moneyshandoney And Carrick), County Donegal, F93 AY6D, Ireland",https://spraoiagussport.ie/youngfamilies2/,,info@spraoiagussport.ie
Bloom Baby Classes North West Ireland,"Baby Massage, Sensory/Messy Play, Movement & Play, Baby & Toddler Group","Drumacrin, County Donegal, F94 RH33, Ireland",https://www.bloombabyclasses.com/north-west-ireland/,089 4082728,trish@bloombabyclasses.com
BabyGrá - Baby Massage & Yoga Cork,"Baby Massage, Yoga & Wellness","Cork, T23 K2CA, Ireland",https://www.babygra.ie,,babygraclasses@gmail.com
Lullababy Baby Classes,"Baby Massage, Yoga & Wellness","Ramstown Lower, County Wexford, Y25 X4P8, Ireland",https://totsspots.com/listing/lullababy-baby-classes/,0876401790,lullababy.ie@gmail.com
Mum2Mum Roscommon,"Breast Feeding, Baby & Toddler Group","Roscommon County Library, Ballypheasan, Roscommon, Ireland",https://totsspots.com/listing/mum2mum-roscommon/,,
Your 4th Trimester,"Cookery, For Parents, Breast Feeding, Baby Massage, Yoga & Wellness","Crescent Shopping Centre, Dooradoyle Road, Dooradoyle Park, Dooradoyle, Limerick, Ireland",https://your4thtrimester.ie/,0874824998,cathie@your4thtrimester.ie
Dancing Tots,Dance,"Carlow, R93 DK06, Ireland",https://totsspots.com/listing/dancing-tots-toddler-dance-class-carlow/,0892224672,natalie_cummi27@hotmail.com
Tots Ballet,Dance,"Terryland Retail Park, Headford Road, Galway, Ireland",https://www.galwaydancecentre.com,,christinadancecentre@gmail.com
Jiving Babies & Mums,"Dance, For Parents","Bohola, Barleyhill, Co. Mayo, Ireland",https://sandraganleydance.ie,0862108029,jivingjuniors@gmail.com
Dance Republic Tiny Dancer,"Dance, Movement & Play","Carlow, R93 V275, Ireland",https://totsspots.com/listing/dance-republic-tiny-dancer/,0830700225,robyncu@icloud.com
"Baby Boppers - Music, movement & sensory baby/toddler classes","Dance, Sensory/Messy Play, Movement & Play","68 Castlefield Manor, Kilmoremoy, Ballina, Co. Mayo, F26 T2X4, Ireland",https://www.instagram.com/baby.boppers?igsh=MTZvM3c0ZGJsYjRwdw==,087 771 8559,maireadflatley@live.ie
Ability Fitness Sligo,"Fitness & Sports, Intellectual Disability Supported Inclusion","Snap Fitness Sligo, Unit 9",https://dostuff.ie/providerpages/ability-fitness-sligo/,0838958141,jenna.abilityfitnesssligo@gmail.com
Football Fun & Development - Ballinfoile,Football,"Galway, H91 PN50, Ireland",https://thefootballfunfactory.co.uk,,jack@thefootballfunfactory.co.uk
Football Fun & Development - Renmore,Football,"Galway, H91 W259, Ireland",https://thefootballfunfactory.co.uk,,jack@thefootballfunfactory.co.uk
Fundamental Football,Football,"Cobh, County Cork, Ireland",https://totsspots.com/listing/fundamental-football/,085 1466288,hollyhenderson08@hotmail.com
Little Kickers,Football,"Barnagore, County Cork, P31 KC53, Ireland Bishopstown, Cork, T12 ERX0, Ireland Blackrock, Cork, T12 XC91, Ireland Carrigtohill, County Cork, T45 X3N1, Ireland Townparks, Midleton, County Cork, P25 R248, Ireland Carrigoon, County Cork, P51 XV58, Ireland Carrigaline West, Carrigaline, County Cork, P43 PK51, Ireland Gouldavoher, Limerick, V94 FY29, Ireland Moneteen, County Limerick, V94 1X59, Ireland Park, Limerick, V94 X7P9, Ireland Monaclinoe, Limerick, V94 F6WN, Ireland Kilbarry, Waterford, X91 AX54, Ireland Bishopscourt, Waterford, X91 R863, Ireland Dungarvan, County Waterford, X35 P527, Ireland Burgagery-Lands West, Clonmel, County Tipperary, E91 NF43, Ireland",https://www.littlekickers.ie,0214377216,lbehan@littlekickers.ie
"Little Kickers County Laois, Carlow and Kilkenny",Football,"Holycross, County Tipperary, E41 HT96, Ireland Harpur's Ln, Knockmay, Portlaoise, Co. Laois, Ireland Main St, Cooltederry, Portarlington, Co. Laois, Ireland Sacred Heart Primary School, New Line, Parkmore, Roscrea, Co. Tipperary, Ireland Oxmantown Mall, Townparks, Birr, County Offaly, Ireland Athy Rd, Bestfield Or Dunganstown, Carlow, Co. Carlow, Ireland Upper New St, Walkinslough, Kilkenny, Ireland",https://www.littlekickers.ie/,0877453950,jnorton@littlekickers.ie
Little Kickers Galway,Football,"Garraun Upper, County Galway, H91 V12C, Ireland, Glennagloghaun South, County Galway, H65 H393, Ireland Galway, H91 E622, Ireland Ballycuirke West, County Galway, H91 HF10, Ireland Newtown (Darcy), County Galway, H54 CP74, Ireland Moylough More, County Galway, H53 X6C1, Ireland Galway, H91 PN50, Ireland",https://www.littlekickers.ie/,0851813898,Galway@littlekickers.ie
Tots Football Fun - Salthill,Football,"Dr Mannix Road, Galway, Ireland",https://thefootballfunfactory.co.uk,,jack@thefootballfunfactory.co.uk
Babywearing ireland,"For Parents, Baby & Toddler Group","CQ3V+MJ Cregganaharna, County Roscommon, Ireland Virginia, Cavan, Ireland Blanchardstown, Dublin, D15 XW56, Ireland Mullingar, County Westmeath, Ireland Barntown, County Wexford, Ireland Galway, Ireland",https://babywearingireland.org/,,secretarybabywearingireland@gmail.com
Clonmel Mother and Baby Walking/Buggy Group,"For Parents, Baby & Toddler Group","Burgagery-Lands West, Clonmel, County Tipperary, E91 WV40, Ireland",https://totsspots.com/listing/clonmel-baby-buggy-walking-group/,,
Kinvara Mum to-Be & New Mum Social Group,"For Parents, Baby & Toddler Group","Cartron, Kinvarra, County Galway, H91 P6PP, Ireland",https://totsspots.com/listing/kinvara-mum-social-group/,,
Little Puckers - GAA class for preschoolers in Cork,GAA,"MHJ2+9W Bantry, County Cork, Ireland RJ77+W4 Carrigaline, County Cork, Ireland W23Q+RH Macroom, County Cork, Ireland 4PJ7+7W Fermoy, County Cork, Ireland WCMR+22 Cork, Ireland VHQ2+5R Cork, Ireland WRH9+54 Midleton, County Cork, Ireland Cappagh, Kinsale, Co. Cork, P17 WD21, Ireland",https://www.littlepuckers.ie/,,
Universal Rhythmic Gymnastics Club -Salthill,Gymnastics,"Galway, H91 T0F6, Ireland",https://www.facebook.com/profile.php?id=61566883178839,0851767269,universal.rhythmicgymnastics@gmail.com
Flying High Fitness,"Gymnastics, Movement & Play","Galway, H91 YC61, Ireland Monaclinoe, Limerick, V94 C796, Ireland",https://www.flyinghighfitness.com/?fbclid=PAZXh0bgNhZW0CMTEAAaZvOhCgrE1j5fODDoHXUHV844Fe7CTq_sJjrKqqNu29VmvfcMKTakBVjKE_aem_IrZUwBr2WDmhZRqIrOzXLQ,,info@flyinghighfitness.com
Stuntworx Elite Gymnastics and Cheerleading,"Gymnastics, Other","Galway, H91 HN76, Ireland",https://www.stuntworxelite.com,091771765,info@stuntworxelite.com
Whitethorn Equestrian Centre,Horse Riding,"Knocknasnaa, County Limerick, V94 76C0, Ireland",https://totsspots.com/listing/whitethorn-equestrian-centre/,087 427 3298,xkatanicalx@gmail.com
Master Doyle Taekwon-Do Schools,Martial Arts & Boxing,"Naas West, Naas, County Kildare, W91 VW90, Ireland Maynooth, County Kildare, W23 X0C6, Ireland Oldbawn, Dublin, D24 T854, Ireland Carlow, R93 K5P2, Ireland",http://masterdoyle.com/,+353876986491,info@masterdoyle.com
Galway Community Circus,"Movement & Play, Other, Social","Renmore Road, Galway, Ireland Shantalla, Galway, Ireland",https://www.galwaycommunitycircus.com/,+353 85 111 7224,info@galwaycircus.com
Chime in & Play,"Movement & Play, Playgroups, Music, Sensory/Messy Play","Carlow, R93 DK06, Ireland St Wolstan's Abbey, Celbridge, County Kildare, Ireland De La Salle Pastoral Centre, Saint Patrick's Road, Ballynerrin Lower, Wicklow, Ireland 96 South Main Street, Gully, Bandon, County Cork, Ireland Cloheen, Clonakilty, County Cork, P85 RD23, Ireland",https://www.playandmusic.ie/Chimein/location/location.shtml,,
Moo Music Wicklow,"Movement & Play, Playgroups, Music, Sensory/Messy Play","Wolfe Tone Community Centre, Vevay Road, Oldcourt, Bray, County Wicklow, Ireland Kilcoole Community Centre, Lott Ln, Kilcoole, Co. Wicklow, Ireland Newtown Mt. Kennedy Community Centre, Newtown Mount Kennedy, Co. Wicklow, A63 CX44, Ireland Angel Acrobatics, Killarney Rd, Bray, Co. Wicklow, A98 FW08, Ireland",https://moomusic.ie/areas/moo-music-co-wicklow/,0877373781,wendy@moomusic.ie
Ready Steady Play Midlands,"Movement & Play, Playgroups, Sign Language, Sensory/Messy Play","Ready Steady Play Athlone, Monksland Community Centre, Monksland, Cushla, Co. Roscommon Ready Steady Play Tullamore, Charleville Community Centre, Church St, Tullamore, Co. Offaly, R35 H660 Ready Steady Play Mullingar, Mullingar Charity Variety Group, Forest Park, Mullingar Business Park, Mullingar, Co. Westmeath Ready Steady Play Portlaoise, Portlaoise Parish Centre, Stradbally Rd, Borris Little, Portlaoise, Co. Laois, R32 FH67 Ready Steady Play Naas, Sallins Scouts Den, Oldbridge Park, Osberstown, Sallins, Co. Kildare",https://www.ready2play.ie,0579330452,midlands@ready2play.ie
Mini Messers Sensory/Messy Play Classes,"Movement & Play, Social, Art & Crafts, STEM, Sensory/Messy Play","Belcarra, County Mayo, Ireland",https://www.instagram.com/mini_messers?igsh=MWJpZWpqc3YzZ2c4cg==,,minimessersmayo@gmail.com
MACBabies Music Sensory class Killarney,"Music, Sensory/Messy Play, Movement & Play","2FXJ+7W Killarney, County Kerry, Ireland",https://www.themacademy.ie/,0876296152,info@themacademy.ie
Ready Steady Play South East,"Music, Sign Language, Sensory/Messy Play, Movement & Play","Waterford, Ireland Danesfort, County Kilkenny, Ireland Wexford, Ireland Dungarvan, County Waterford, Ireland",https://www.ready2play.ie/,0860866248,jade@ready2play.ie
The ImagiNation,Playgroups,"1st Floor Henry Lyons & Co Department Store Lower, O'Connell St, Rathedmond, Sligo, F91 V2AH, Ireland",https://www.theimagination.ie,0851397357,hello@theimagination.ie
Woodkids Forest School,"Playgroups, Adventure/Scouts, Other","Jenkinstown, County Kilkenny, R95 NN67, Ireland",https://woodkidsforestschool.com/,083 110 95 13,woodkids@protonmail.com
Sugradh Creative/Messy Play Toddler Playgroup in Galway,"Playgroups, Art & Crafts, STEM, Sensory/Messy Play, Social, Baby & Toddler Group","Raheen, Athenry, County Galway, H65 E443, Ireland Loughrea, County Galway, Ireland Renmore Park, Galway, Ireland",https://www.sugradhcreativeclasses.com,,info@sugradhcreativeclasses.com
Mohill Toddler Group /Kids Lego/Art/Social Club & Autism Playgroup,"Playgroups, Art & Crafts, STEM, Social, Baby & Toddler Group","Boeeshil, County Leitrim, N41 Y2F5, Ireland",https://mohillfamilysupportcentre.org/news/,0719631253,support@mohillfsc.info
Art Room 109,"Playgroups, Art & Crafts, Sensory/Messy Play","Galway, Ireland",https://www.instagram.com/art_room_109/,,artroom109@gmail.com
Carlow Parent & Toddler Messy Play Group - Visual Carlow,"Playgroups, Art & Crafts, Sensory/Messy Play, Baby & Toddler Group","Carlow, R93 A3K1, Ireland",https://visualcarlow.ticketsolve.com/ticketbooth/shows,+353 59 917 2400,boxoffice@visualcarlow.ie
Lus Na Greine Family Resource Centre,"Playgroups, Art & Crafts, Social, Baby & Toddler Group","Granard, County Longford, N39 R7X4, Ireland",https://lusnagreinefrc.ie/services/,043-6660977,info@lngfrc.ie
"Limerick Library Toddler Group, Storytime & Art","Playgroups, Art & Crafts, Storytime, Baby & Toddler Group","Watch House Cross Shopping Centre, Kileely Road, Kileely, Watch House Cross, Limerick, Ireland",https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/watch-house-cross-community-library,+353 61 557 726,watchhousecrosslibrary@limerick.ie
Daingean Library,"Playgroups, Art & Crafts, Storytime, Reading/Writing","Townparks, County Offaly, R35 V6P5, Ireland",https://www.offaly.ie/daingean-library/,+353 (57) 9353005,daingeanlibrary@offalycoco.ie
Drumlish Library - Toddler Group / Kids Book Club / Social Group,"Playgroups, Art & Crafts, Storytime, Reading/Writing, Social, Baby & Toddler Group","Drumlish, County Longford, N39 ER29, Ireland",https://longfordlibrary.ie/library/find-your-local-library/drumlish-library/,043 332 47 60,drumlishlibrary@longfordcoco.ie
Edenderry Library,"Playgroups, Art & Crafts, Storytime, STEM, Reading/Writing","Edenderry, County Offaly, R45 RX48, Ireland",https://www.offaly.ie/edenderry-library/,+353 (46) 9731028,edenderrylibrary@offalycoco.ie
"Abbeyfeale Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Abbeyfeale West, Abbeyfeale, County Limerick, V94 HXR2, Ireland",https://totsspots.com/listing/abbeyfeale-parent-toddler-group/,087 938 2883,
"Abbeyleix Laois Parent, Baby & Toddler Group","Playgroups, Baby & Toddler Group","Tonduff, County Laois, R32 H244, Ireland",https://totsspots.com/listing/abbeyleix-laois-parent-baby-toddler-group/,0578714944,managerabbeyleixheritagehouse@gmail.com
"Abbeyquarter Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Chapel St, Abbeyquarter North, Sligo, Ireland",https://www.theavaloncentre.ie/programmes,07191-61836,
"Achill Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Dooniver, County Mayo, F28 K283, Ireland",https://totsspots.com/listing/achill-parent-baby-and-toddler-group/,,magscarey7@gmail.com
"Adamstown/Raheen Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Courthoyle New, Raheen, County Wexford, Y21 T183, Ireland Adamstown, County Wexford, Y21 C8K1, Ireland",https://arcfrc.ie/parents-and-toddlers-groups/,089 4354670,
"Aghada Parent, Baby & Toddler Group","Playgroups, Baby & Toddler Group","Upper Aghada, Aghada, Co. Cork, Ireland",https://totsspots.com/listing/aghada-parent-baby-toddler-group/,086 3940973,
Ardagh/Moydow Baby and Toddler group,"Playgroups, Baby & Toddler Group","Moor, County Longford, N39 FW52, Ireland",https://totsspots.com/listing/ardagh-moydow-baby-and-toddler-group/,0852566909,
"Ardara Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Ardara, County Donegal, Ireland",https://totsspots.com/listing/ardara-donegal-toddler-group/,,cosabeaga@hotmail.com
Ardfert Parent and Toddler Group - Ardfert Community Centre -,"Playgroups, Baby & Toddler Group","86H9+75 Ardfert, County Kerry, Ireland",https://www.ardfertcommunitycentre.ie/groups_classes/parent-and-toddler-group/,,
"Arvagh Parent, Toddler & Baby Group","Playgroups, Baby & Toddler Group","Drumalt, County Cavan, H12 P308, Ireland",https://totsspots.com/listing/arvagh-cavan-parent-toddler-group/,087 6893630,
"Athenry Parent, Baby & Toddler Group","Playgroups, Baby & Toddler Group","Cross St, Athenry, County Galway, Ireland",https://totsspots.com/listing/athenry-parent-baby-toddler-group/,,athenryplaygroup@gmail.com
Baby & Toddler Group Cork City,"Playgroups, Baby & Toddler Group","MacCurtain Street, Victorian Quarter, Cork, T23 KN76, Ireland",https://www.corkbaptistchurch.org/?fbclid=IwY2xjawKRz6dleHRuA2FlbQIxMABicmlkETF0Sm9qT3lTTEVuQlp3VFJZAR7ekHS_z3RoWvYykh0xZaYy12n4U58F_86FNFkodlrEGJXay4ux5nAs140p3g_aem_FvOhZKQVkjOnQPNzm0KGuA,,meabh.kenny@gmail.com
"Bailieborough Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Bailieborough, County Cavan, Ireland",https://totsspots.com/listing/bailieborough-parent-baby-and-toddler-group/,086 203 0942,
"Ballaghaderreen Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Saint John's Terrace, an tSráid Nua, Ballaghaderreen, County Roscommon, Ireland",https://totsspots.com/listing/ballaghaderreen-parent-baby-and-toddler-group/,,
"Ballina Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Abbeyhalfquarter, Ballina, County Mayo, F26 C6P6, Ireland",https://totsspots.com/listing/ballina-parent-baby-and-toddler-group/,,admin@ballinafrc.com
Ballinamore Parent and Toddler Group,"Playgroups, Baby & Toddler Group","Convent Road, Aghadark, County Leitrim, Ireland",https://mohillfamilysupportcentre.org/services/,0866035977,support@mohillfsc.info
Ballinasloe/Killalaghton Parent Baby & Toddler Group,"Playgroups, Baby & Toddler Group","Killalaghton Hall, Ballinasloe, Killoran, County Galway, Ireland",https://totsspots.com/listing/ballinasloe-killalaghton-parent-baby-toddler-group/,,
Ballincollig Baby & Toddler Group Cork,"Playgroups, Baby & Toddler Group","The Village Shopping Centre, Station Rd, Ballincollig, Cork, Co. Cork, Ireland",https://ballincolligfrc.org/about-us/,+353 21 487 6295,info@ballincolligfrc.org
"Ballinderry Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Ballinderry, County Roscommon, F42 N277, Ireland",https://totsspots.com/listing/ballinderry-parent-baby-and-toddler-group/,,
"Ballinfoile Parent, Baby & Toddler Group","Playgroups, Baby & Toddler Group","Galway, H91 PN50, Ireland",https://bcnc.ie/,,roselyn.carroll@gmail.com
"Ballingarry / Croom Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Croom, County Limerick, V35 E306, Ireland Knightstreet, Ballingarry, County Limerick, V94 9H30, Ireland",https://croomfrc.com/services/parent-family-support/,061 602 878,info@croomfrc.com
"Ballinrobe Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Credit Union House, Main Street, Cornaroya, Ballinrobe, County Mayo, Ireland",https://ballinrobetacufrc.com/,,tacucomdev@gmail.com
"Ballintrillick Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Gortnahoula, County Sligo, F91 A389, Ireland",https://www.benwiskincentre.com/classes/,071 91 76721,
"Ballon Parent, Baby & Toddler Group Carlow","Playgroups, Baby & Toddler Group","Ballon, County Carlow, Ireland",https://totsspots.com/listing/ballon-parent-baby-toddler-group/,085 72 02 358,
"Ballybrown / Clarina Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Ballybrown, County Limerick, V94 F5EY, Ireland",https://ballybrownclarinacommunity.com/classes/,0857297246,
"Ballybunion Parent, Baby & Toddler Group","Playgroups, Baby & Toddler Group","Ballybunnion, County Kerry, V31 TV25, Ireland",https://totsspots.com/listing/ballybunion-baby-toddler-group/,,ballybcomcentre@gmail.com
"Ballycroy Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Gortbrack South, Co. Mayo, Ireland",https://totsspots.com/listing/ballycroy-parent-baby-and-toddler-group/,,ballycroybabyandtoddlergroup@gmail.com
"Ballyduff Parent, Baby & Toddler Group Kerry","Playgroups, Baby & Toddler Group","Benmore, County Kerry, V92 A2VC, Ireland",https://budsfrcballyduff.com/,0871519234,budsfrc@gmail.com
"Ballygar Parent, Baby & Toddler Group","Playgroups, Baby & Toddler Group","Ballygar, County Galway, F42 YA62, Ireland",https://totsspots.com/listing/ballygar-parent-baby-toddler-group/,087 1377 908,
"Ballyhaunis Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Carrownluggaun, County Mayo, F35 Y337, Ireland",https://totsspots.com/listing/ballyhaunis-parent-baby-toddler-group/,,s.d.cleary@hotmail.co.uk
