company_name,category,description,class_types,minimum_age,maximum_age,age_range_display,parental_requirement,address,eircode,latitude,longitude,days_of_week,start_time,end_time,term_structure,price_amount,price_currency,pricing_basis,pricing_details,website_url,booking_url,email_address,phone_number,facilities,source_urls,date_verified,verification_status,image_url
Art Clubs with Playful Tribe,"Afterschool Clubs, Art, Craft & Making, Arts & Crafts Camps, Camps & Afterschool, Drawing & Illustration, Kids Art Club, Kids Craft Workshops, Mindfulness, Painting, Paper Crafts & Origami, Pottery & Ceramics, Printmaking, Sculpture","Playful Tribe Afterschool Art Clubs Sessions are relaxed and process-led, with the focus on creativity, self-expression, and enjoying making art. We explore a range of materials including air-dry clay, watercolours, oil pastels, acrylics, drawing, and mixed media, while learning how to use professional tools and techniques. All materials are included . Mondays 4-5:30pm (Junior & Senior Infants) Tuesdays 4-5:30pm (1st Class - 6th Class) Classes are drop-off and take place in our home studio in Bettystown. They’re best suited for children who are comfortable participating independently without one-to-one support/SNA. Our art classes run on a continuous basis throughout the year, and you can join at any time once we have a vacancy in the class of your choice.",[],,,,,Eastham Rd,A92 VR02,53.7006314,-6.2550226,[],,,,,EUR,,,https://bookwhen.com/playfultribe,,contact.playfultribe@gmail.com,,[],"['https://bookwhen.com/playfultribe', 'https://dostuff.ie/providerpages/art-clubs-with-playful-tribe/']",2026-05-16T14:56:24,,https://dostuff.ie/wp-content/uploads/2026/05/IMG_1458.jpeg
"Art classes for children in Wexford and Lucan, co.Dublin","Afterschool Clubs, Art Therapy, Art, Craft & Making, Kids Art Club, Kids Craft Workshops, Painting","🎨✨ Let Your Child’s Creativity Shine! ✨🎨 Looking for a fun, inspiring activity for your child? Our art classes are the perfect place for young imaginations to grow! 🖌️ Explore painting, drawing, and creative crafts 🌈 Build confidence and self-expression 👩‍🎨 Small, friendly groups with personal guidance 🎉 Perfect for beginners and budding young artists alike Whether your child loves to doodle or dreams of becoming the next great artist, our classes are all about creativity, fun, and discovery. 📍 Limited spaces available – don’t miss out! 📩 Message now to book a spot or learn more Let’s create something amazing together! 🎨💫",[],,,,,"Clonard Community Centre, Clonard Rd",8GJCWH,52.332483956579324,-6.478548645973206,[],,,,,EUR,,,https://dostuff.ie/providerpages/art-classes-for-children-in-wexford-and-lucan-co-dublin/,,e.oleinik@gmail.com,0863090977,[],['https://dostuff.ie/providerpages/art-classes-for-children-in-wexford-and-lucan-co-dublin/'],2026-04-16T11:08:30,,https://dostuff.ie/wp-content/uploads/2026/04/1000045341.jpg
Art in Layers,"Art, Craft & Making, Card Making, Printmaking","Discover hands-on creativity at Art in Layers, a studio dedicated to layered and textured art. Enjoy unique workshops including Joomchi, Kinusaiga, printmaking with recycled milk cartons, botanical collage with pressed flowers, pop-up card making, and more.",[],,,,,Camden Street Lower,,53.3351402,-6.2652351,[],,,,,EUR,,,https://artinlayers.ie/,,,,[],"['https://artinlayers.ie/', 'https://dostuff.ie/providerpages/art-in-layers/']",2026-02-06T15:13:58,,https://dostuff.ie/wp-content/uploads/2026/02/20240907_182617.jpg
Art workshops & Tea,"Adult Art, Craft and Making","Relaxed art workshops for adults in Studio 50, based in Carnagh, Co.Armagh, BT60 3HZ. Enjoy 2 hours of calm and creativity with professional artist Trish Redmond.👩‍🎨 Classes are suitable for beginners, as Trish offers guidance throughout ensuring everyone goes home with a completed artwork. All materials are provided. Come alone or bring a friend and enjoy some time in a relaxed environment with like minded people. Tea, coffee and freshly baked treats served! ☕️🧁 Check Trish Redmonds social media for upcoming events! Studio 50 is also open for private art workshops. Contact Trish for more information.",[],,,,,50 Carrickaduff Road,BT60 3HZ,54.18390056034637,-6.724224890854624,[],,,,,EUR,,,https://dostuff.ie/providerpages/art-workshops-and-tea/,,info@trishredmondart.com,,[],['https://dostuff.ie/providerpages/art-workshops-and-tea/'],2026-05-04T15:25:46,,https://dostuff.ie/wp-content/uploads/2026/04/1000077295.jpg
Arty Party Place,"Adult Learning, DIY, Life Skills, Art, Craft & Making, Arts & Crafts Camps, Candle Making, Card Making, Felt Making, Kids Art Club, Kids Craft Workshops, Knitting & Crochet, Pottery & Ceramics, Science & STEM Camps, Sewing & Dressmaking, Teen Camps, Transition Year, Upcycling","We are a small craft workshop, birthday and pottery space located in the heart of Portlaoise at the rear of JBR Art Haus - the Midlands largest craft supply store. We offer a huge range of craft workshops throughout the year as well as afterschool craft club, kids craft camps, pottery events and a drop in pottery painting venue. We work with various community ventures and county councils to facilitate a large variety of pottery, craft, crochet and upcycling workshops across the Midlands. In store we host themed birthday events such as pottery, pop star, dinosaur, Harry Potter, decor letters, clay time insects, keyrings and bracelets, slime time, Minecraft or we can create an event to suit your needs. We also offer a mobile craft party service - we travel to your event with our craft packages. Our Adult Workshops include crochet, beginners sewing, upcycling, candle making, soap making, needle felting, floral wreaths, foraged balms and teas, pottery painting, pottery handbuilding, foiling, alcohol ink art and polymer clay jewellery.",[],,,,,6 Hynd's Square,R32 Y002,53.0341058,-7.3009751,[],,,,,EUR,,,https://www.artypartyplace.com,,info@artypartyplace.com,085 1139695,[],"['https://www.artypartyplace.com', 'https://dostuff.ie/providerpages/arty-party-place-craft-workshop/']",2026-04-07T14:28:07,,https://dostuff.ie/wp-content/uploads/2026/04/Use-AI-Image-Apr-7-2026-14_23_51.png
Automatic Driving Lessons Cork City,"Adult Learning, DIY, Life Skills, Driving Lessons","EDT Driving Lessons Paul O’Halloran RSA approved driving instructor operating in Cork City and suburbs Book with confidence 0861254724 Door to door services provided if required Pay As You Go, no upfront payment Now also accepting Revolut EDT book provided free of charge Visit drivinglessonscorkcity.ie for more information, videos and testimonials",[],,,,,Private Address,Private Address,,,[],,,,,EUR,,,https://drivinglessonscorkcity.ie,,paulohalloran100@gmail.com,0861254724,[],"['https://drivinglessonscorkcity.ie', 'https://dostuff.ie/providerpages/automatic-driving-lessons-cork-city/']",2025-09-21T10:43:15,,https://dostuff.ie/wp-content/uploads/2025/09/77d3faa3-1688-4388-91f9-d239e4b9aff3-1.jpeg
BRICK LEGENDS LEGO CLUBS & EVENTS,"Afterschool Clubs, Camps & Afterschool, Easter Camps, Halloween Camps, Montessori & Play‑Based Learning, Summer Camps","WELCOME TO Brick Legends Ireland Our kids LEGO® clubs are dedicated to fostering STEM based creativity, imagination, and a love for learning through the magical world of LEGO® bricks. At Brick Legends, we believe that playing with LEGO® is more than just a fun pastime; it's a powerful tool for education and STEM (Science, Technology, Engineering, and Mathematics) development. Through the joy of building and problem-solving, children engage in a hands-on learning experience that enhances their cognitive, social, and emotional skills.",[],,,,,,P12 XP84,51.90436491355358,-8.957801375516372,[],,,,,EUR,,,https://www.bricklegends.ie,,stephen@bricklegends.ie,0876488071,[],"['https://www.bricklegends.ie', 'https://dostuff.ie/providerpages/brick-legends-lego-clubs-events/']",2026-05-11T09:13:50,,https://dostuff.ie/wp-content/uploads/2026/05/circle.png
Babble & Bloom,"Antenatal & Postnatal, Baby & Early Learning, Baby Sign Language, New Parent Workshops, Parent & Toddler Groups","Parent and baby early communication courses Learn evidence-based strategies to support your baby's communication from the very beginning. Created and led by a registered Speech & Language Therapist. You’ll learn how to: Model baby signs Build connection and language through play Turn everyday moments into communication opportunities All through relaxed, play-based sessions. Suitable for babies and toddlers aged 6–14 months, Babble & Bloom offers a relaxed and supportive environment to connect with your baby, build confidence in supporting their development, and meet other parents at a similar stage. Join us for six weeks of play and practical learning that will help you nurture your baby’s communication skills in everyday moments. Please note: While Babble & Bloom is created and led by a Speech & Language Therapist, it is an educational class rather than a Speech & Language Therapy service. Participation does not constitute assessment or therapy, and the course is not a substitute for speech and language assessment or intervention where needed.",[],,,,,"Malahide Castle, Malahide Demesne",,53.4445767,-6.1655167,[],,,,,EUR,,,https://bookwhen.com/babblebox/e/ev-sfu2l-20260916100000,,Hello@babbleboxlearning.com,,[],"['https://bookwhen.com/babblebox/e/ev-sfu2l-20260916100000', 'https://dostuff.ie/providerpages/babble-bloom/']",2026-06-28T19:31:31,,https://dostuff.ie/wp-content/uploads/2026/06/Babble-Bloom-Banner.png
Baby & Me Ballet Dublin,Parent & Toddler Groups,"For little ones aged 14M-30M, 2.5-3.5Y, and their grown-ups. Dance, Sing & Play Together. Gentle introduction to Ballet, through dancing, singing & playing.",[],,,,,Swords,,53.4557467,-6.219740600000001,[],,,,,EUR,,,https://www.babyandmeballet.com,,hello.babyandmeballet@gmail.com,+353838110214,[],"['https://www.babyandmeballet.com', 'https://dostuff.ie/providerpages/baby-me-ballet-dublin/']",2026-05-11T10:33:00,,https://dostuff.ie/wp-content/uploads/2026/05/Untitled-design-1.jpg
Baby Massage with Emma,Baby Massage,Hi! I’m Emma! I’m a registered nurse and midwife and recently certified with the IAIM in infant massage. I’m setting up Baby Massage classes in Co. Louth. 5 Classes per course €150 per course (most private health insurance companies offer some reimbursement) email for more info or to book - babymassageemma@gmail.com or Instagram - @babymassagewithemma,[],,,,,Private Address,Private Address,,,[],,,,,EUR,,,https://dostuff.ie/providerpages/baby-massage-with-emma/,,babymassageemma@gmail.com,,[],['https://dostuff.ie/providerpages/baby-massage-with-emma/'],2026-07-22T19:47:28,,https://dostuff.ie/wp-content/uploads/2026/07/IMG_7153.png
Baby Massage with Laura – Navan & Surrounds,Baby Massage,"Baby Massage Classes led by an experienced Paediatric/Neonatal Intensive Care Nurse (10+ years). Babies - birth to 12 months. All babies welcome, including babies with special needs/complex needs/any additional needs or life limiting conditions. Loads of room for any medical equipment eg suction machines/portable ventilators/feeding pumps etc. If your baby has a feeding tube, stoma bag, tracheostomy, CPAP/BiPap mask, Peg tube etc - massage can be adapted to suit your baby. I have so much experience looking after babies with any additional needs and will support you to make you feel comfortable. Classes are ran in Navan - Red River Yoga Studio (Wednesdays at 10am) and Wilkinstown Community Centre (Mondays at 10am). I also offer 1:1 classes if desired. Relaxed, baby-led classes. If you need to feed, change your baby, walk around or just cuddle your baby that is fine. All you need to bring is a small blanket for your baby. I provide yoga mats, cushions, oils etc.. Tea, coffee, sweet treats provided for the second part of the class where parents sit & chat & get to know eachother :) DM on Instagram @baby_massage_with_laura or Email: lauramcq.babymassage@gmail.com",[],,,,,Navan,,53.653949875860675,-6.6965582977026905,[],,,,,EUR,,,https://dostuff.ie/providerpages/baby-massage-with-laura-navan-surrounds/,,lauramcq.babymassage@gmail.com,,[],['https://dostuff.ie/providerpages/baby-massage-with-laura-navan-surrounds/'],2026-05-11T20:44:36,,https://dostuff.ie/wp-content/uploads/2026/05/IMG_3839.jpeg
Baby Sensory Dunboyne,"Baby & Early Learning, New Parent Workshops, Sensory Classes, Tummy Time Classes","Baby Sensory® classes are designed to support your baby’s development from birth to 13 months through gentle sensory activities, music, movement and play. Every activity is carefully designed using research into early childhood development, supporting your baby’s sensory, physical and cognitive growth in a natural, fun way. Each class is carefully structured for your baby’s stage, from tiny newborns to active explorers, all in a warm, welcoming environment. ⸻ Why parents love Baby Sensory: 💛 A special time to bond with your baby 💚 Supports early development and key milestones 💛 A friendly space to meet other local parents 💚 No pressure, just enjoy the moment together ⸻ What to expect: 💛 Sensory play (lights, textures, bubbles and more) 💚 Music and movement 💛 Varied, age-appropriate activities All designed to stimulate your baby’s senses while keeping things calm and enjoyable for you both.",[],,,,,"St. Peter's GAA Dunboyne, Rooske Rd",A86 Y750,53.41029983294892,-6.473115559588458,[],,,,,EUR,,,https://www.babysensory.ie/meath,,meath@babysensory.ie,0851083592,[],"['https://www.babysensory.ie/meath', 'https://dostuff.ie/providerpages/baby-sensory-dunboyne/']",2026-04-15T21:23:57,,https://dostuff.ie/wp-content/uploads/2026/04/IMG_0531.jpeg
Baby Sensory Kildare & Carlow,Baby & Early Learning,"Support your baby’s development with research-backed classes parents trust and babies love. Baby Sensory® classes provide ideas for creative play, massage, tummy time, movement, visual development, textures, scents and music in simple practical ways that can be easily repeated at home. We also use a combination of original and traditional songs and rhymes to develop early speech and language skills, and sensory signing activities to help you and your baby communicate from birth. Suitable from birth to 13 months.",[],,,,,Keadeen Hotel,R21 NX58,53.1624406,-6.8240632,[],,,,,EUR,,,https://www.babysensory.ie/kildare/,,kildare@babysensory.ie,0879182643,[],"['https://www.babysensory.ie/kildare/', 'https://dostuff.ie/providerpages/baby-sensory-kildare-carlow-2/']",2026-02-14T11:56:02,,https://dostuff.ie/wp-content/uploads/2026/02/489757245_1250627907070997_2674939916392306553_n.jpg
Baby Sensory Kildare & Carlow,Baby & Early Learning,"Support your baby’s development with research-backed classes parents trust and babies love. Baby Sensory® classes provide ideas for creative play, massage, tummy time, movement, visual development, textures, scents and music in simple practical ways that can be easily repeated at home. We also use a combination of original and traditional songs and rhymes to develop early speech and language skills, and sensory signing activities to help you and your baby communicate from birth. Suitable from birth to 13 months.",[],,,,,"Studio 3 Yoga, Pilates & Holistic Centre, Unit 5A",R21 NX58,53.2316878,-6.653085700000001,[],,,,,EUR,,,https://www.babysensory.ie/kildare/,,kildare@babysensory.ie,0879182643,[],"['https://www.babysensory.ie/kildare/', 'https://dostuff.ie/providerpages/baby-sensory-kildare-carlow-3/']",2026-02-14T12:00:19,,https://dostuff.ie/wp-content/uploads/2026/02/489757245_1250627907070997_2674939916392306553_n-2.jpg
Baby Sensory Kildare & Carlow,"Baby & Early Learning, Sensory Classes","Support your baby’s development with research-backed classes parents trust and babies love. Baby Sensory® classes provide ideas for creative play, massage, tummy time, movement, visual development, textures, scents and music in simple practical ways that can be easily repeated at home. We also use a combination of original and traditional songs and rhymes to develop early speech and language skills, and sensory signing activities to help you and your baby communicate from birth. Suitable from birth to 13 months.",[],,,,,"Seven Oaks Hotel and Leisure Club, Athy Rd",R93 V4K5,52.8411361,-6.929079199999999,[],,,,,EUR,,,https://www.babysensory.ie/kildare/%20,,kildare@babysensory.ie,0879182643,[],"['https://www.babysensory.ie/kildare/%20', 'https://dostuff.ie/providerpages/baby-sensory-kildare-carlow/']",2026-02-14T11:52:31,,https://dostuff.ie/wp-content/uploads/2026/02/489757245_1250627907070997_2674939916392306553_n-1.jpg
Baby Sensory Navan,"Baby & Early Learning, New Parent Workshops, Sensory Classes, Tummy Time Classes","Baby Sensory® classes are designed to support your baby’s development from birth to 13 months through gentle sensory activities, music, movement and play. Every activity is carefully designed using research into early childhood development, supporting your baby’s sensory, physical and cognitive growth in a natural, fun way. Each class is carefully structured for your baby’s stage, from tiny newborns to active explorers, all in a warm, welcoming environment. ⸻ Why parents love Baby Sensory: 💛 A special time to bond with your baby 💚 Supports early development and key milestones 💛 A friendly space to meet other local parents 💚 No pressure, just enjoy the moment together ⸻ What to expect: 💛 Sensory play (lights, textures, bubbles and more) 💚 Music and movement 💛 Varied, age-appropriate activities All designed to stimulate your baby’s senses while keeping things calm and enjoyable for you both.",[],,,,,"Claremont Stadium, Commons Rd",C15 TX9T,53.641887634300645,-6.699810939659905,[],,,,,EUR,,,https://www.babysensory.ie/meath,,meath@babysensory.ie,0851083592,[],"['https://www.babysensory.ie/meath', 'https://dostuff.ie/providerpages/baby-sensory-navan/']",2026-04-15T17:03:45,,https://dostuff.ie/wp-content/uploads/2026/04/77409993-dcd1-4a6a-b797-452016221f01.jpeg
Ballet Classes for Adults,"Adult Beginners, Art History & Culture, Ballet, Dance & Movement, Music, Drama & Performance","Cork Adult Ballet offers ballet classes for adults of all experience levels. Experience the joy of classical ballet in a supportive and inclusive environment. Please find all information in this document . Tuesday evenings beginning September 9 at Dance Cork Firkin Crane 5:30 - 6:30 pm Beginner ballet 6:30 - 8:00 pm Open ballet 8 - 8:30 pm Pre-pointe/pointe class Sunday afternoons beginning August 31 at the ACA Performing Arts Academy 4 - 5:30 pm Open ballet 5:30 - 6 pm Pointe/pre-pointe Please get in touch to sign up. All classes operate on a drop-in/pay-as-you-go basis, but please get in touch to register at least one day in advance as class size is limited. I will respond to confirm your place. Email: corkadultballet@gmail.com Phone/WhatsApp: 0833716740 Instagram: @corkadultballet Further information",[],,,,,John Redmond St,T23 Y584,51.9025443,-8.4749791,[],,,,,EUR,,,https://linktr.ee/corkadultballet,,corkadultballet@gmail.com,0833716740,[],"['https://linktr.ee/corkadultballet', 'https://dostuff.ie/providerpages/ballet-classes-for-adults/']",2025-09-11T13:16:56,,https://dostuff.ie/wp-content/uploads/2025/09/dostuff.ie-banner-1.png
Barleyhill Icelandics,Horse Riding,Come join us at Barleyhill Icelandics for an adventure you will never forget! Learn about the fantastic Icelandic horse with their special gaits!,[],,,,,Barleyhill,F12 DY92,53.9189028,-9.0458783,[],,,,,EUR,,,https://dostuff.ie/providerpages/barleyhill-icelandics/,,barleyhillstables@gmail.com,0858354655,[],['https://dostuff.ie/providerpages/barleyhill-icelandics/'],2026-07-29T21:56:51,,https://dostuff.ie/wp-content/uploads/2026/07/1ce8703f-5715-4760-abb9-e46173b9fe26.jpeg
"Beekeeping, hen keeping, forest bathing","Bee Keeping, Birdwatching, Gardening & Horticulture, Meditation, Nature & Outdoor Camps, Nature Walks & Biodiversity, Nature, Outdoors & Group Meet-Ups","BEEWILD FOR KIDS - beekeeping interactive session - equipment run thru - hivemind education - honey tastings - sowing seeds ( to take home) - meet the hens , pigs , calves , chicks 🐣 - bee spotting ☘️ follow the bees So much more ✨☀️🌱🚜 🍵 tea & organic treats included ⭐️⭐️⭐️ Beewild Combo - beekeeping setup - Equipment run thru - The hive as medicine - Matriarch - honey tastings - what trees to plant 🌳 - weeds as wonders 🌱 - bee spotting (what they’re working Day/month) - chicken setup - hatching & incubators - hygiene & health - benefits of roosters - meet the chicks! 🐣 - grow your own set up - weed suppression - natural fertiliser 🌊 - pest prevention - sowing seeds ( to take home) 🍵Tea & organic treats included ⭐️⭐️⭐️ FOREST Bathing☘️🌱 (forest is on site on the farm) - trees as medicine - plant ID walk - how to regulate your nervous system - benefits to your immune system - sensory exercises - breathing practices - guided visualisation - Tea circle in the woods 🍵🍵🍵",[],,,,,,,51.8267841,-8.2321121,[],,,,,EUR,,,https://beewildwithkate.com/,,katemarie@live.ie,0872559698,[],"['https://beewildwithkate.com/', 'https://dostuff.ie/providerpages/beekeeping-hen-keeping-forest-bathing/']",2026-04-03T19:10:52,,https://dostuff.ie/wp-content/uploads/2026/04/Minimal-Square-Photo-Collage-Photography-Instagram-Post.png
