Title,URL,Tagline,Description,Categories,Ages Detail,Region,Address,Latitude,Longitude,Phone,Email,Website,Facebook,Instagram,Other Links,Pricing,Verified,Promoted,Listing Type,Thumbnail
"Muine Bheag Parent, Baby & Toddler Group -Bagenalstown",https://totsspots.com/listing/muine-bheag-parent-baby-and-toddler-group/,"Carlow Parent, Baby and Toddler Group","Muine Bheag Parent, Baby and Toddler Group
Is open to all Parents, Grandparents and carers of young children. Join us for fun activities, tea and coffee, biscuits and a chat. Parents and Toddlers are welcome to pop in any week. There will be a cost of €2 per session.
Parents need good social groups, and this is why Bagenalstown Family Resource Centre runs a Parent and Toddler group for parents, grandparents and carers.
The benefits of attending include building new friendships and support systems. Children develop their social skills and learn through play.
In the group, you will find:
Suitable tables and chairs for adults and children
Toys and equipment specific for various age groups
Nappy changing facilities
Craft and messy play materials
Tea and coffee for parents
Location:  Bagenalstown Family Resource Centre, Gleann Na Bearú, Moneybeg, Muine Bheag, Co. Carlow, R21 Y753
Day/Time: Every Tuesday (during term time) from 10.30am - 12.00pm
💶 Cost: €2 per family","Playgroups, Baby & Toddler Group","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old, 5 year old",Carlow,"Moneybeg, Muine Bheag, County Carlow, R21 Y753, Ireland",52.69686,-6.96538,,,https://bagenalstownfamilyresourcecentre.ie/services/family-support-services/,https://www.facebook.com/profile.php?id=100079313033747,,,Per Family: 2€,False,False,groups-and-classes,https://totsspots.com/wp-content/themes/my-listing/assets/images/marker.jpg
Rathanna Parent & Toddler Group/ Walking Group Carlow,https://totsspots.com/listing/rathanna-parent-toddler-group/,Rathanna Toddler Group & Parent Walking Group,"Rathanna Parent, Baby and Toddler Group in Carlow is a weekly playgroup for parents/ caregivers, grandparents/childminders and their little ones from newborn to preschool.
What to expect ??
You may arrive & leave anytime during playgroup session and typically everyone helps to tidy up for the last 5-10mins of the session & there are changing facilities available.
We are located in one big hall that are filled with toys appropriate for 0-5 years and include small ride on cars/ tractors, prams, Lego, trains, ball pit, reading corner and soft play area on large soft mats to protect the little ones.
The group also has a parents walking group which operates at certain times throughout the year. Walk the gorgeous Rathanna Sli na Slainte route (5.4km) - check out their socials to see if the group is operating. (weather and season depending)
📍Location: Rathanna Community Hall Rathanna, Ireland R95HH68
🗓️⏰Time: Every Thursday from 9:30am -11:30am (during school term)
💶 Cost: €3 per Family
🧸Contact Details: you can contact 0857074738 for any queries","Playgroups, For Parents, Baby & Toddler Group","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old, 5 year old",Carlow,"Rathanna, County Carlow, R95 HH68, Ireland",52.60098,-6.83146,0857074738,,,https://www.facebook.com/people/Rathanna-Parent-Baby-Toddler-Group/100090187360507/,https://www.instagram.com/rathanna_baby_toddler_group/,,Per Family: 3€,False,False,groups-and-classes,https://totsspots.com/wp-content/uploads/2025/02/Donegal-Toddler-groups-2-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2-1-2-1-1-2-1-1-1-1-1-1-1-1-1-1-1-1-2-150x150.webp?crop=1
Swimtastic.ie,https://totsspots.com/listing/swimtastic-ie/,"Swimtastic.ie offers fun, engaging swimming lesson","Swimtastic.ie is a leading provider of high-quality swimming lessons for babies, toddlers, and young children across Ireland.
Our goal is to create a fun, safe, and nurturing environment where children can develop essential water skills, build confidence, and foster a lifelong love for swimming.
🏊Age Groups & Programs
Swimtastic offers swimming lessons tailored to different developmental stages:
👉Parent and Child Programme.
Parents/Guardians attend class with their little ones.
👉Baby Swim (3-12 months) – Gentle, sensory-rich water introduction focusing on bonding, water confidence, and foundational skills.
👉Toddler Swim (1-3 years) – Play-based learning to enhance water safety, movement, and early swimming techniques.
👉Preschool Swim (3-5 years) – Small group lessons designed to build independence, stroke development, and breath control.
👉Junior Swim Parents/Guardians do not need to get in the water in this programme (5+ years) – Progressive lessons focusing on technique, endurance, and water safety skills.
📍Locations
Swimtastic.ie operates in multiple locations across the Midlands, using warm, child-friendly pools to ensure a comfortable learning experience. Some of our key locations include:
Laois
Carlow
Kilkenny
Kildare
Why Choose Swimtastic?
Expert, fully qualified instructors
Small class sizes for personalized attention
Warm, family-friendly swimming pools
Focus on fun, safety, and skill development
Flexible class options to suit busy parents
Join the Swimtastic family and help your child gain confidence in the water!",Swimming,"0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old, 5 year old, 6 year old, 7 year old, 8 year old, 9 year old, 10 year old, 11 year old, 12 year old",Carlow,"10 Kellyville Park, Kylekiproe, Portlaoise, Co. Laois, Ireland  Kilkenny, Ireland  Killerig, County Carlow, Ireland  Killashee, County Kildare, Ireland",53.03284,-7.30011,0598647010,splash@swimtastic.ie,https://swimtastic.ie/,https://www.facebook.com/share/12JFbGGkcb6/,https://www.instagram.com/swimtastic.ie?igsh=MWQ0dDI4YXg5azhlZw==,,Prices Vary,True,False,groups-and-classes,https://totsspots.com/wp-content/uploads/listing-uploads/logo/2025/03/inbound6080644605305722792.webp
The Wriggles and Giggles,https://totsspots.com/listing/the-wriggles-and-giggles/,Themed classes with amazing music & light displays,"What do our classes typically involve? 🧸
🪇Structured class of singing, rhymes, dancing etc led by class teacher.
🪅Stimulating light displays with hands on 'touch' experiences.
📷 A little photoshoot opportunity.
🪁Free play with a selection of montessori toys.
Keep up to date on our classes and locations in Carlow & Kilkenny through Instagram.","Sensory/Messy Play, Movement & Play, Playgroups, Dance, Music","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old",Carlow,"Carlow, Ireland  Kilkenny, Ireland",52.836,-6.92461,,carlowminimovers@gmail.com,https://www.instagram.com/the_wriggles_and_giggles?igsh=YjJ1azh0YnF6ZGUy,,https://www.instagram.com/the_wriggles_and_giggles?igsh=YjJ1azh0YnF6ZGUy,,Per class: 15€,True,False,groups-and-classes,https://totsspots.com/wp-content/themes/my-listing/assets/images/marker.jpg
Tullow & Carlow Central Library,https://totsspots.com/listing/tullow-carlow-central-library/,Story Time and Book Clubs,"Tullow &  Carlow Central Library offers fantastic groups for babies and kids.
Carlow Central Library
Storytime - every Wednesday morning at 10am for 30 minutes of stories and song for children aged 0-5 years and their parents.
Tullow Library
Baby Book Club - We run a baby book club in Tullow Library every Tuesday at 10am. Suitable for 0-3 years old with stories and songs followed by playtime.
Teen Book Club (12-14 years)  - the first Monday of the month 4.15pm","Playgroups, Storytime, Reading/Writing","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old, 5 year old, 12 year old, 13 year old, 14 year old",Carlow,"Carlow, R93 E7R7, Ireland  Carlow, R93 K126, Ireland",52.83975,-6.93124,(059) 9129705,,https://carlow.ie/libraries/library-events-and-activities-0/library-clubs,,,,Price: Free€,False,False,groups-and-classes,https://totsspots.com/wp-content/themes/my-listing/assets/images/marker.jpg
Tullow Parent & Toddler Group Carlow,https://totsspots.com/listing/tullow-parent-baby-toddler-group-carlow/,"Tullow Parent, Baby and Toddler Group","Tullow Parent, Baby and Toddler Group in Carlow is hosted by Forward Steps Family Resource Centre. Activities such as sensory play, crafts and free play time will ensure the kids have a good morning. It is a great way for parents to meet other parents in the area.
To attend you must email in advance if you would like to attend as space is limited. Every Parent/Guardian must supervise their own child
📍Location: Forward Steps Family Resource Centre, Chapel Lane, Tullow, Carlow, Ireland
🗓️⏰Time: Every Wednesday from 10.00 - 11.30  (during term time)
💶 Cost: €2 per family
🧸Contact Details: you can contact receptionforwardsteps@gmail.com for any queries
Note: Website may be out of date, keep up to date on dates/time on Facebook or by Contacting the centre.","Playgroups, Baby & Toddler Group","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old, 5 year old",Carlow,"Tullowphelim, County Carlow, R93 CY68, Ireland",52.80248,-6.73343,059 9152776,receptionforwardsteps@gmail.com,https://www.forwardstepsfrc.com/servicessupport,https://www.facebook.com/profile/100062958624053/search?q=toddler&filters=eyJycF9jaHJvbm9fc29ydDowIjoie1wibmFtZVwiOlwiY2hyb25vc29ydFwiLFwiYXJnc1wiOlwiXCJ9In0%3D,,,Per Family: 2€,False,False,groups-and-classes,https://totsspots.com/wp-content/themes/my-listing/assets/images/marker.jpg
Zumbini,https://totsspots.com/listing/zumbini/,Zumbini Class for toddlers parents,"Zumbini Class - toddlers parents group- kids (ages 0-5years old) and their caragivers.
Zumbini® program combines music, dance and educational tools for 45-minutes of can't-stop, won't-stop bonding and fun.
Zumbini ® program for toddlers/kids and caregivers is a great opportunity to spend time together with your child, development, activity, lots of fun and learning.
What we do? We are dancing/ singing/ playing on Instruments( drums/sticks...)
➡️First class- your child receives a gift from Zumbini / Last class- your child receives certificate
Saturdays- Portarlington @12.15PM
Saturdays- Monasterevin @10.30am
Saturdays- Athy@11.30am
Saturdays- Carlow @12.30pm
Contact me for new session","Playgroups, Dance, Music","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old, 5 year old",Carlow,"2 Sandy Ln, Cooltederry, Portarlington, Co. Laois, R32 V4K7, Ireland  Monasterevin Community Hall, Main Street, Monasterevin, County Kildare, Ireland  New Oak Estate, Carlow, Ireland",53.15608,-7.18892,0894653938,joannamichalska888@gmail.com,https://www.zumbini.com/en/classes/18216,https://www.facebook.com/profile.php?id=100057604532468,https://www.instagram.com/zumbini_with_joanna?igsh=MXRhYmpydmVleTd5ZQ==,,6 weeks: 70€; 4 weeks: 55€,True,False,groups-and-classes,https://totsspots.com/wp-content/uploads/listing-uploads/logo/2024/07/Screenshot_20240725_095202_Gallery-150x150.webp?crop=1
"Arvagh Parent, Toddler & Baby Group",https://totsspots.com/listing/arvagh-cavan-parent-toddler-group/,"Arvagh Parent, Baby & Toddler Group","Arva Parent, Toddler and Baby Group in Cavan welcomes you to pop along to their group to meet new parents/carers. A perfect place for your little one to play with toys and make friends. And don't worry there is Tea and Coffee for the adults.
📍 Location: St Patricks Hall Arva, Main Street Arvagh, Ireland H12 P308
⏰Time: Every second Monday 10.30 - 12.00 (during term time)
💶 Cost: €2 per Family
🧸Contact Details: you can contact Caroline 087 6893630 for any queries
**Keep an eye on social media for when the group starts back up after school holidays as it does not always align with term time.","Playgroups, Baby & Toddler Group","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old, 5 year old",Cavan,"Drumalt, County Cavan, H12 P308, Ireland",53.92164,-7.58123,087 6893630,,,https://www.facebook.com/profile/100064383144441/search?q=toddler&filters=eyJycF9jaHJvbm9fc29ydDowIjoie1wibmFtZVwiOlwiY2hyb25vc29ydFwiLFwiYXJnc1wiOlwiXCJ9In0%3D,,,Per Family: 2€,False,False,groups-and-classes,https://totsspots.com/wp-content/uploads/2025/02/Donegal-Toddler-groups-2-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2-1-2-150x150.webp?crop=1
Baby Massage with Orla,https://totsspots.com/listing/babymassagewithorla/,Baby massage classes in Cavan town.,"Baby massage classes in Cavan town. The Backyard, Moynehall, H12W5D4.
Wednesdays 5 week block from 1000-1130.
Mum, dad, grandparents welcome to come with baby, but we do only like one person and baby to attend the classes.
Dads baby massage workshop will be announced soon.",Baby Massage,"0-6 months, 6-12 months",Cavan,"Moynehall, County Cavan, H12 W5D4, Ireland",53.96834,-7.35285,087 3933163,orla.oconnor3@hotmail.com,,,,,5 week block: 135 per block €,True,False,groups-and-classes,https://totsspots.com/wp-content/uploads/listing-uploads/logo/2025/04/inbound4454959724286319256-150x150.webp?crop=1
"Bailieborough Parent, Baby and Toddler Group",https://totsspots.com/listing/bailieborough-parent-baby-and-toddler-group/,"Bailieborough Parent, Baby & Toddler Group","Bailieborough Parent, Toddler and Baby Group in Cavan welcomes you for some chats, connection and a cuppa. Come along and join in the fun.  This is a baby/child led class suitable from newborn to age 3 so your little people play or snooze.
Tea/Coffee and refreshments are on offer too.
📍 Location: The Courthouse , Bailieborough, Cavan, Ireland
⏰Time: Meets twice a month on a Monday 9.30-10.30 (during term time)
💶 Cost: €5 per family
🧸Contact Details: you can contact 086 203 0942 for any queries
**Keep an eye on social media for when the group starts back up after school holidays as it does not always align with term time.","Playgroups, Baby & Toddler Group","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old",Cavan,"Bailieborough, County Cavan, Ireland",53.91561,-6.96929,086 203 0942,,,https://www.facebook.com/profile.php?id=61565199572799,,,Per Family: 5€,False,False,groups-and-classes,https://totsspots.com/wp-content/uploads/2025/02/Donegal-Toddler-groups-2-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2-1-2-1-1-2-1-1-1-1-1-1-150x150.webp?crop=1
"Belturbet Parent, Toddler & Baby Group",https://totsspots.com/listing/belturbet-parent-toddler-baby-group/,"Belturbet Parent, Baby & Toddler Group","Belturbet Parent, Toddler and Baby Group in Cavan welcomes you to  just come along & meet other parents/guardians &  enjoy a cuppa while your toddler gets to play & socialise. There are mats and toys for the kids and tea/coffee for the adults. The library also offers a great sensory area for kids too. There is no need to book as these are pop in sessions.
📍 Location: Belturbet Library (Centrally located in the Townhall) The Diamond, Corporation Lands, Co. Cavan
⏰Time: Every Thursday 1pm -3 pm (during term time)
💶 Cost: €2 per Family
🧸Contact Details: you can contact 049 952 2683 for any queries
**Keep an eye on social media for when the group starts back up after school holidays as it does not always align with term time.","Playgroups, Baby & Toddler Group","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old, 5 year old",Cavan,"The Diamond, Corporation Lands, Co. Cavan, Ireland",54.10035,-7.44502,049 952 2683,,,https://www.facebook.com/p/Belturbet-Parent-and-Toddler-Group-61551127434765/,,,Per Family: 2€,False,False,groups-and-classes,https://totsspots.com/wp-content/uploads/2025/02/Donegal-Toddler-groups-2-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2-1-2-1-150x150.webp?crop=1
"Corglass Cavan Parent, Baby and Toddler Group",https://totsspots.com/listing/corglass-cavan-toddler-group/,"Corglass Parent, Baby & Toddler Group","Corglass Parent, Toddler and Baby Group in Cavan is also called the Little Hands Playgroup. Calling all wrigglers, wobblers and toddlers! Parents are welcome to come and stay with their 0-5 year olds. There are lots of toys, activities, fun and treats to keep the kids (and parents) entertained! Running alongside Little Hands is a breast feeding support group for all breast feeding mums or to-be-mums. This is a great opportunity to get some much needed support as you raise your little bundle of joy!
📍 Location: Cavan Baptist Church, Corglass, Cavan, Ireland
⏰Time: Every Thursday 9.30 - 11.30 (during term time)
💶 Cost: FREE
🧸Contact Details: you can contact 089 237 4924 for any queries
**Keep an eye on social media for when the group starts back up after school holidays as it does not always align with term time.","Playgroups, Breast Feeding, Baby & Toddler Group","0-6 months, 6-12 months, 1 year old, 2 year old, 3 year old, 4 year old, 5 year old",Cavan,"Corglass, County Cavan, H12 ND36, Ireland",53.96905,-7.34047,0892374924,,http://cavanbaptist.ie/little-hands-toddler-group/,https://www.facebook.com/profile/100064707845141/search?q=toddler&filters=eyJycF9jaHJvbm9fc29ydDowIjoie1wibmFtZVwiOlwiY2hyb25vc29ydFwiLFwiYXJnc1wiOlwiXCJ9In0%3D,,,Per Family: Not Listed€,False,False,groups-and-classes,https://totsspots.com/wp-content/uploads/2025/02/Donegal-Toddler-groups-2-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-2-1-2-1-1-2-1-1-150x150.webp?crop=1
