Title,URL,Website,Phone,Description,Address,Latitude,Longitude,Categories,Dublin Zone,Book Now URL,Added Date,Image URL
All Court Tennis,https://dublincitymum.ie/listing/all-court-tennis/,https://allcourt-tennis.com/,+353876658883,"All Court Tennis, based at the Railway Union Sports Grounds in Sandymount, Dublin 4, offers dynamic, confidence-building tennis coaching for children of all skill levels. Their programmes emphasize not just athletic growth—improving coordination, agility, balance, and focus—but also personal development through lessons in sportsmanship, problem-solving, independence, and teamwork. With a warm, inclusive philosophy, they aim to nurture not only skilled players but well-rounded individuals who love the game for life.","Park Ave, Sandymount, Dublin 4, D04 PF86",,,Tennis,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-293.png
Alliance Française,https://dublincitymum.ie/listing/alliance-francaise/,https://www.alliance-francaise.ie/minors/#/,+35316761732,"Alliance Française Dublin is a leading French language and cultural centre offering classes for toddlers, children, and teenagers (ages 2-18). Through fun and interactive activities, students build lasting language skills and an appreciation for French culture. | Located in the heart of Dublin, the centre is easily accessible and offers a welcoming space for members to relax and socialize. Recognized for excellence, it has received the European Language Label and was named Best Language School in Ireland in 2018.",1 Kildare St. Dublin 2,,,Languages,,,,https://dublincitymum.ie/wp-content/uploads/2025/07/Screenshot-178.png
Alma,https://dublincitymum.ie/listing/alma/,https://www.alma.ie/,,"Alma (Portobello, Dublin 8) | For families who love amazing Argentinian food with a twist, Alma is a must. Their dulce de leche pancakes are incredible, the treats are heavenly and the coffee’s great, this bright and buzzy café is a hit with foodies and little ones alike. The staff are super welcoming, and the lively vibe makes it feel like you’ve found a slice of South America in Dublin 8. | Kids Menu: | No dedicated kids menu, but lots of child-friendly dishes. | High Chairs: | Yes. | Baby Changing: | No. | Why It’s Great: | Flavour-packed dishes, friendly vibes, and a fun, lively atmosphere that works brilliantly for families.","19A Curzon Street, South Circular Road, Portobello, Dublin 8, Ireland",53.332767,-6.269217,Eat,,https://www.alma.ie/book-a-table,,https://dublincitymum.ie/wp-content/uploads/2025/09/Screenshot-2025-09-01-at-11.59.45-800x600.png
Aloft Dublin City,https://dublincitymum.ie/listing/aloft-dublin-city/,https://www.marriott.com/en-us/hotels/dubal-aloft-dublin-city/overview/,,"Location: | In Dublin’s historic Liberties district at 1 Mill Street, just minutes’ walk from the Guinness Storehouse, Teeling Whiskey Distillery, Dublin Castle, St Patrick’s Cathedral, and Grafton Street. | Family Perks: | Modern, tech-forward family rooms with free fast WiFi and walk-in rain showers ensure comfort for all ages. The hotel goes the extra mile with their | “Family Camp Aloft” | experience—turning the room into a mini camper-style play zone complete with games. For dining you’ve got the Re:Fuel café (grab & go), the rooftop WXYZ bar, and the onsite Tenters Gastropub. With its central location and thoughtful amenities, Aloft Dublin City is a stylish choice for families who want a mix of comfort, convenience, and a dash of fun in the heart of Dublin.","1 Mill St, The Liberties, Dublin 8, D08 XK58, Ireland",53.337026,-6.275747,Mid Range Family Hotels Dublin,,,,https://dublincitymum.ie/wp-content/uploads/2025/09/Screenshot-2025-09-29-at-16.13.46-800x600.png
Ana McNerney Photographer,https://dublincitymum.ie/listing/ana-mcnerney-photographer/,https://www.anamcnerney.ie/,+353831916320,"Create lifelong memories with Ana Mc Nerney’s expertly crafted newborn, maternity, and family photography. Her Ashtown home studio, steps from Pelletstown Train Station, offers a calming, beautifully lit setting ideal for capturing those early-life moments. Known for her gentle approach and eye for detail, Ana offers everything from prints and albums to personalized sessions in-studio, at home, or on-location—making her one of Dublin’s most trusted photographers for families.","Ashtown, Dublin",,,Photographers,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-277.png
Anantara The Marker Dublin,https://dublincitymum.ie/listing/anantara-the-marker-dublin/,https://www.anantara.com/en/the-marker-dublin,,"Location: | Grand Canal Dock, Dublin 2 – Located near the Bord Gáis Energy Theatre, the Grand Canal Dock, and a short walk from the vibrant Docklands. | Family Perks: | This luxury hotel offers spacious family rooms, a rooftop bar with panoramic views, and an indoor pool, perfect for families to unwind after a busy day. The location is excellent for families who enjoy a modern setting and easy access to cultural spots like the National Gallery and parks. Kids will love the fun, colorful atmosphere, and the hotel provides babysitting services and a children’s menu.","Grand Canal Quay, Dublin, D02 FF61, Ireland",53.341143,-6.239096,High End Family Friendly Hotels Dublin,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-2025-08-11-at-07.23.24-800x600.png
Anew,https://dublincitymum.ie/listing/anew/,https://anew.ie/,+35316351492,"Anew is Ireland’s only charity dedicated to supporting pregnant women and new mothers experiencing homelessness. Operating since 1981, Anew provides intensive emotional and practical support to women, particularly those at risk of homelessness, including those facing domestic abuse, addiction, or mental health challenges. Their services encompass supported temporary accommodation at Cherry Blossom Cottage in North County Dublin, day services at Haven House in Dublin City Centre, and outreach support to women in direct provision centres, family hubs, and temporary accommodation. Anew’s mission is to provide a safe space where women and their children can receive the necessary support to fulfill their full potential.","113 Pearse Street, D02 AV80",,,Wellbeing,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-291.png
Antenatal Class.ie,https://dublincitymum.ie/listing/antenatal-class-ie/,https://antenatalclasses.ie/about.html,,"‘The Help Me To Parent Antenatal & Newborn Care” course is designed for expectant parents. The course covers the last 3 months of pregnancy, labour and childbirth. It also covers the care of your newborn baby and care of your relationship after the arrival of your baby.  The course is designed and delivered by a fully qualified midwife with over 10 years experience. Taking part in an antenatal class will prepare you and ease your fear of the unknown. You may be concerned about pain relief during birth, | breastfeeding, what to do when the baby arrives. Their antenatal classes cover all of these issues in a relaxed and friendly environment.",Multiple Locations,,,Antenatal Classes,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/tai-s-captures-IdNRilLk0T8-unsplash-800x600.jpg
Antenatal Dublin,https://dublincitymum.ie/listing/antenatal-dublin/,http://antenataldublin.com/index.html,,"This course is tailored to meet the needs of parents who want to learn about the practical elements of pregnancy, child birth, breast feeding and parenting from a supportive, pragmatic and unbiased point of view. The lead up to chldbirth should be an exciting time and an opportunity for expectant parents to learn and share new experiences. | Hazel Cazzini is an Irish registered and qualified Midwife since 1996.  She has worked in all areas of maternity care and  have cared for many women during their pregnancy, labour and postnatal periods. Hazel currently works as a Midwife Tutor.","​Weston, Lucan, Co. Dublin",,,Antenatal Classes,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/sandra-seitamaa-ImW_9u8qt0U-unsplash-800x600.jpg
Antenatal Ireland,https://dublincitymum.ie/listing/antenatal-ireland/,https://antenatalireland.ie/what-we-offer/,,"Cuidiú antenatal courses help parents work out how they would like to approach labour and birth, rather than telling them the ‘right’ way. | The ideal time to take a course is between 26 to 38 weeks pregnant. Their courses focus on providing you with the evidence-based information and the skills you need to make decisions about your labour and birth. | Classes | are interactive and participative with lots of time for questions and for practising skills needed for labour and early babyhood.",Various Locations,,,Antenatal Classes,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Antenatal-1.png
Aoife Elizabeth Photographer,https://dublincitymum.ie/listing/aoife-elizabeth-photographer/,https://www.aoifeelizabeth.ie/,,"Aoife | is a Terenure based photographer specialising in candid family and newborn photography. She loves capturing life as it really is, the real moments and connections that are so important to remember. Think children laughing and exploring in the woods, or a tiny newborn cradled in their mama’s arms at home. | Her sessions are super relaxed and easygoing, giving families space to simply be themselves while she quietly captures all the little details that tell their story. Most photoshoots take place either in the family’s home or outdoors, somewhere that feels familiar and comfortable, maybe a favourite park or a spot that holds special meaning.",,,,Photographers; Photographers,,,,https://dublincitymum.ie/wp-content/uploads/2025/11/Aoife-Elizabeth-Portrait-800x600.jpg
Aoife McNamara,https://dublincitymum.ie/listing/aoife-mcnamara/,https://aoifemcnamara.com/,,"Meet | Aoife McNamara | , Ireland’s first B-Corp fashion house, where nature, heritage, and conscious design intertwine to create garments that feel deeply meaningful. | Each collection is an invitation to wear your values: crafted with care using fine Irish fabrics, working with trusted suppliers, and producing in smaller, intentional batches to reduce waste. Her pieces echo the landscapes that inspire her — elegant silhouettes with texture, earth tones, and timeless structure. Choose a blazer, coat, or a more fluid form, and you’ll find yourself wrapped in a story you’re proud to carry. | We adore Aoife McNamara because she doesn’t just follow trends , she offers a vision: fashion that honours the land, lifts makers, and lasts beyond seasons.",Online,,,Brands We Love,,,,https://dublincitymum.ie/wp-content/uploads/2025/10/Screenshot-2025-10-05-at-10.22.48-800x600.png
Apple Blossom,https://dublincitymum.ie/listing/apple-blossom/,https://appleblossomcreche.weebly.com/,,"Caring for babies, toddlers & Montessori-aged children","0 Leinster Square, Rathmines, Dublin 6, D06 A500",,,Crèches,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/markus-spiske-IFCloi6PYOA-unsplash-800x600.jpg
Apres School Club,https://dublincitymum.ie/listing/apres-school-club/,https://www.apresschoolclub.com/,+35312024645,Montessori and Afterschool care | Children between the ages of 3 and 13 years old.,THE APRES SCHOOL CLUB BALLINCLEA ROAD KILLINEY CO. DUBLIN A96 VFW0,,,After-School Clubs,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Apres-800x600.png
April & the Bear,https://dublincitymum.ie/listing/april-the-bear/,https://www.aprilandthebear.com/,,"April & The Bear | is a delightfully eclectic home-and-lifestyle store based in Dublin, filled to the brim with unique pieces that feel far from the ordinary. Founded by Siobhan Lam, this female-led independent business grew from an online passion project into a chic physical shop on Rathmines Road, showcasing adaptably stylish homewares, art prints, gifts and beautiful furniture. | Everything is thoughtfully selected with personality and purpose in mind, you’ll find industrial-cool accents, lighting and furnishings alongside playful prints and fun gifts. The team also offer interior design services, making it a smart stop for families wanting style that works for home life. | April & The Bear is a brand that combines creativity, local craft and family-friendly style under one roof in Dublin.","213 Rathmines Road Lower, Rathmines, Dublin 6, Ireland",53.322279,-6.265953,Brands We Love; Homeware,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-2025-08-27-at-15.09.46-794x600.png
AquaZone At The National Aquatic Centre,https://dublincitymum.ie/listing/aquazone/,https://www.aquazone.ie/birthday-parties,+35316464300,"AquaZone at the National Aquatic Centre is Dublins splash-tastic choice for birthdays. Perfect for kids aged 6-14 years, its all about high-energy fun with thrilling slides, wave pools, and lazy rivers. Parents can relax while the kids make waves literally before heading to the party area for well-earned treats. This spot is a real gem for families looking to celebrate in style. Expect friendly staff, lots of laughs, and a great atmosphere where kids can have the time of their lives while parents relax and enjoy the fun.","Snugborough Road, Deanestown, Dublin 15, D15 A6WR, Ireland",53.401824,-6.362333,Party Venues,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-213.png
AquaZone at the National Aquatic Centre,https://dublincitymum.ie/listing/aquazone-at-the-national-aquatic-centre/,https://www.aquazone.ie/,,"AquaZone at the National Aquatic Centre in Blanchardstown is Ireland’s premier indoor waterpark, offering a perfect family day out with eight thrilling rides and attractions suitable for all ages. Children can embark on adventures in the Pirate Ship play area, featuring shallow pools and fun slides, while older kids and adults can enjoy the excitement of the FlowRider surf simulator, the gravity-defying Master Blaster, and the high-speed Green Giant and Dark Hole slides. | For a more relaxed experience, families can float along the Lazy River, unwind in the Bubble Pool, or ride the waves in the Wave Pool. With sessions lasting two hours and facilities designed for comfort, AquaZone ensures a memorable and enjoyable visit for everyone. | ​ | Tickets must be booked | online | . | Sport Ireland Campus is a cashless facility, so all purchases on-site must be made by card payment. | Change is required for Lockers (€1) so please bring this with you on the day.","Snugborough Road, Blanchardstown, Dublin, Ireland",53.389353,-6.387098,Indoor,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/aquazone-waterpark-interior-slide-and-pool-800x600.jpg
Arabian Gymnastics Club,https://dublincitymum.ie/listing/arabian-gymnastics-club/,http://arabiangymnastics.com/,+35318063444,"Arabian Gymnastics Club offers recreational and competitive gymnastics classes for boys and girls of all ages. Located in a 10,000 sq ft facility in Baldoyle, Dublin, the club is equipped with a range of gymnastics equipment, including sprung floors, airtracks, bars, beams, vaults, trampolines, and resi mats. | Established in 2005 as Dublin’s first full-time gymnastics facility, Arabian Gymnastics provides structured training in artistic gymnastics, focusing on skill progression and fitness development. The club also runs holiday camps throughout the year to give children additional opportunities to practice and improve.","Unit 5b, Baldoyle Ind Est, Dublin 13",,,Gymnastics,,,,https://dublincitymum.ie/wp-content/uploads/2025/07/Screenshot-177.png
Archie's Pizza,https://dublincitymum.ie/listing/archies-pizza/,https://archiespizza00.wixsite.com/archie-s-pizza,,"Who doesn’t love a pizza party?! Archie’s Pizza mobile catering service offers freshly made pizzas for all your family occasions like birthdays, communions, confirmations. | Archie himself will come to your event and provide your guests with hot and fresh pizza, made to order. They offer many different toppings and sizes to fit any dietary needs or taste.",Various locations,,,Cakes + Caterers,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Archies-800x600.png
Ardgillan Castle,https://dublincitymum.ie/listing/ardgillan-castle/,https://ardgillancastle.ie/,,"Ardgillan Castle, | located about 30 minutes drive from Dublin centre, is definitely worth the drive. It’s a stunning visitor attraction with a range of facilities families can enjoy. | Discover a wonderful range of amenities which include Castle Tours, Spectacular Gardens, an Art Gallery, Open Art Studios, a Craft Shop, a Walking & Heritage Trail and Castle Tearooms. | The playground alone is worth the trip! They recently created a magical | Fairy Tree Trail | which is dotted around the woodland area of the walled garden and offers families a chance to learn about the different varieties of trees growing at Ardgillan. | After all of this, you can enjoy lunch or afternoon tea on their gorgeous terrace which is set in their private rose garden. | The demesne and gardens are | FREE to enter.","Ardgillan Demesne, Co. Dublin, K34 C984, Ireland",53.586603,-6.160401,Outdoor,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-2025-09-04-at-13.33.34-800x600.png
Arnotts,https://dublincitymum.ie/listing/arnotts/,https://www.arnotts.ie/kids/nursery/cots-sleeping/,,"Arnotts – Kids | has you covered with everything from baby gear & nursery must-haves to clothes for toddlers and tweens, toys & games, shoes, gifts and more. They stock a massive range of trusted brands that deliver quality & style. Whether you’re shopping for school, playtime, or just something to delight your little one, Arnotts makes it easy.","Henry Street, Dublin, D01 HW54, Ireland",53.349452,-6.262514,Nursey Interiors + Baby Essentials,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/arnotts-688x600.png
Art Zone,https://dublincitymum.ie/listing/art-zone/,https://www.artzone.ie/,+35314990614,"Artzone is all about nurturing creativity through visual arts. With a passion for teaching and a commitment to high-quality education, Artzone helps students develop their artistic skills in a fun and supportive environment. | As part of an internationally recognized organization, students gain access to top-notch art education while exploring their creative potential.","Castleside Drive, Rathfarnham, Dublin 14, Ireland",53.298569,-6.280882,Art,,,,https://dublincitymum.ie/wp-content/uploads/2025/06/Screenshot-123.png
Article,https://dublincitymum.ie/listing/article/,https://article.ie/,,"Article | is one of Dublin’s most beautiful design destinations, a contemporary home and lifestyle store tucked inside the elegant Powerscourt Townhouse Centre. Founded in 2010, it’s the kind of shop that makes you want to redecorate your whole home, calm, stylish, and full of clever, beautiful things that bring joy to everyday living. | Every shelf is thoughtfully curated, mixing Irish craftsmanship with design finds from around the world. From ceramics and glassware to textiles, stationery, candles, and home décor, Article has that perfect balance of practicality and charm. It’s a wonderful place to pick up a gift, refresh your space, or treat yourself to something special that feels both modern and timeless. Stylish, sustainable, and proudly Dublin-based.","2 William St S, Dublin 2, D02 T189, Ireland",53.342236,-6.262183,Brands We Love; Gifts; Homeware,,,,https://dublincitymum.ie/wp-content/uploads/2025/11/Screenshot_2-11-2025_84648_article.ie_-693x600.jpeg
Ashgrove Creche & Montessori,https://dublincitymum.ie/listing/ashgrove-creche-montessori/,https://ashgrovecreche.ie/,+35312962700,Creche & Montessori | From 20 months to 6 years,"61 Churchtown Rd Lower, Farranboley, Dublin 14, D14 FY70",,,Crèches,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/markus-spiske-vblGMzpFvmY-unsplash-800x600.jpg
Ask the Midwife,https://dublincitymum.ie/listing/ask-the-midwife/,https://askthemidwife.ie/,,"Lisa Courtney is a qualified midwife and Infant Sleep Practitioner who provides sleep consultations through Ask the Midwife. With a blend of clinical expertise and parental support, Lisa helps families with issues such as frequent night waking, short naps, and sleep associations. She offers 30- and 60-minute consultations, creating flexible strategies tailored to each child’s developmental stage and the family’s lifestyle.","Dublin, Ireland",53.349805,-6.26031,Sleep Consultants,,,,https://dublincitymum.ie/wp-content/uploads/2025/08/Screenshot-2025-08-26-at-16.58.15-800x600.png
Aura Leisure,https://dublincitymum.ie/listing/aura-leisure/,https://www.auraleisure.ie/location/dublin-navan-road/contact/,+35318385422,"Aura Leisure De Paul on Navan Road, Dublin 7, offers a comprehensive and engaging swimming programme for children aged 4 and up. | Their Swim Academy features 10 progressive levels, starting from foundational water skills in the “Ducklings” class to advanced stroke techniques and lifesaving skills in the “Sharks” level. | Each stage is designed to build confidence, safety awareness, and swimming proficiency in a fun and supportive environment. | Lessons are conducted by professionally trained instructors in both learner and main pools, ensuring appropriate challenges as children advance. | For younger swimmers, the Junior Swim Academy provides “Swim Baby” classes for infants aged up to 30 months and “Swim Tots” classes for toddlers, focusing on water familiarity and parent-child bonding. | With free swim assessments available to determine the appropriate starting level, Aura Leisure De Paul ensures that every child receives personalized instruction tailored to their needs.","Aura De Paul Swimming Pool, St. Vincent's Centre, Navan Road, Dublin 7",,,Swimming,,,,https://dublincitymum.ie/wp-content/uploads/2025/06/Screenshot-112.png
