company_name,category,address,website_url,phone_number,email_address,latitude,longitude,geocode_method
Art Classes/Private mentoring,"Art, Craft & Making, Card Making, Drawing & Illustration, Kids Art Club, Painting","Unit 2 The Courtyard , James Street, Westport",https://www.westportartmusicschool.com,09844573,westportartmusicschool@gmail.com,53.8005219,-9.5230396,drop-venue
Little Ones Playgroup,Baby & Toddler Group,"Knockglass, County Cork, P25 HC94, Ireland",https://totsspots.com/listing/little-ones-playgroup/,,littleonesladysbridge@gmail.com,51.8924212,-8.0239769,full
North Wexford Parent and Toddler Group,Baby & Toddler Group,"Borleagh, Killinierin, County Wexford, Y25 P954, Ireland",https://totsspots.com/listing/north-wexford-parent-and-toddler-group/,,annamariemasterson@gmail.com,52.7299329,-6.2804317,drop-venue
ParentsFirst Community Families Baby Cafe,Baby & Toddler Group,"Frankford, County Offaly, R42 X894, Ireland",https://totsspots.com/listing/parentsfirst-community-families-baby-cafe/,0858673434,,53.1759088,-7.7273301,full
Play group in Irish/Gaeilge,Baby & Toddler Group,"Ballina, County Mayo, F26 R299, Ireland",https://totsspots.com/listing/play-group-in-irish-gaeilge/,,aoifenic@glornangael.ie,54.1143359,-9.1532099,full
Bloom Baby Classes North West Ireland,"Baby & Toddler Group, Baby Massage, Sensory/Messy Play, Movement & Play",Kids connect sligo,https://www.bloombabyclasses.com/north-west-ireland/,089 4082728,trish@bloombabyclasses.com,,,unresolved
Gort Parent & Toddler Group,"Baby & Toddler Group, Playgroups, Breast Feeding, For Parents","Bolands Lane, Ballyhugh, Gort, County Galway, Ireland Coole Park, Galway, Ireland Church St, Ballyhugh, Gort, Co. Galway, Ireland",https://totsspots.com/listing/gort-parent-baby-toddler-group/,,,53.3435047,-8.8733741,area-level
The Extra Special Parent & Toddler Group,"Baby & Toddler Group, Playgroups, Dance, Breast Feeding, Baby Massage, Language, Sign Language, Yoga & Wellness, Horse Riding, First Aid, Weaning, Sensory/Messy Play, Wheelchair & Para, Movement & Play, Social, For Parents","Leitrim, County Leitrim, Ireland",https://totsspots.com/listing/the-extra-special-parent-toddler-group/,0877437262,extraspecialptg@gmail.com,53.9905176,-8.065392,full
Scariff Baby & Toddler Groups / Kids Book Club - Scariff Library,"Baby & Toddler Group, Playgroups, Storytime, Reading/Writing","Ballyminoge, County Clare, V94 NY33, Ireland",https://clarelibraries.ie/events/?event_page=3&event_cs_location=scariff-library,061 922983,scarriff_library@clarecoco.ie,52.9096349,-8.5246382,full
Portumna Library - Toddler (up to 5) Storytime / Lego Group,"Baby & Toddler Group, Storytime, STEM, Reading/Writing","Portumna Demesne, County Galway, H53 AE06, Ireland",https://galway.spydus.ie./cgi-bin/spydus.exe/MSGTRN/WPAC/HOME,,portumna@galwaylibrary.ie,53.0809068,-8.242785,full
Baby Massage Class in Shannon Co Clare,Baby Massage,"Rinneanna View, Ballycasey More, Shannon, Co. Clare, Ireland",https://totsspots.com/listing/baby-massage-class-shannon-clare/,0838258888,rachelkeogh2005@gmail.com,52.7102948,-8.8587661,drop-venue
Baby Massage Classes Newmarket on Fergus,Baby Massage,"Lisduff, County Clare, V95 F70K, Ireland",https://totsspots.com/listing/baby-massage-classes-newmarket-on-fergus/,086 855 2307,siobhanmeehan78@gmail.com,52.7522664,-8.8877615,full
Baby Massage in Portlaoise with Oxana Murray,Baby Massage,"Knockmay, Portlaoise, County Laois, R32 C7DD, Ireland",https://totsspots.com/listing/baby-massage-in-portlaoise-with-oxana-murray/,089 479 9695,oxanamamasvillage@gmail.com,53.0292581,-7.3146491,full
Baby Massage Oranmore,Baby Massage,"Oranmore, County Galway, Ireland",https://totsspots.com/listing/baby-massage-oranmore/,086 890 3064,eburkeslt@gmail.com,53.2754881,-8.9472704,full
Baby Massage Sinead Grace,Baby Massage,"Birr, County Offaly, Ireland Toomevara, County Tipperary, Ireland",https://totsspots.com/listing/baby-massage-sinead-grace/,0862514700,sineadgrace11@gmail.com,52.6848215,-7.8981472,area-level
Baby Massage with Kathryn,Baby Massage,"Portumna, County Galway, Ireland Nenagh, County Tipperary, Ireland",https://www.facebook.com/share/1BVRyYhpbW/%20https://www.instagram.com/katarchard_infantmassage?igsh=MXhoaGppanNicTR0OQ==,0857207677,katarchard@gmail.com,52.6848215,-7.8981472,area-level
Baby Massage with Orla,Baby Massage,"Moynehall, County Cavan, H12 W5D4, Ireland",https://totsspots.com/listing/babymassagewithorla/,087 3933163,orla.oconnor3@hotmail.com,53.9679659,-7.3534196,full
Butterfly Bambino’s - Baby Massage,Baby Massage,"Glen, County Limerick, V94 7W13, Ireland",https://totsspots.com/listing/butterfly-bambinos-baby-massage-limerick/,,butterflybambinos@outlook.ie,52.5923668,-8.5564945,full
Edel's Baby Massage in Portlaoise🌈,Baby Massage,"Parish Office, Dublin Road, Maryborough, Portlaoise, County Laois, Ireland",https://totsspots.com/listing/edels-baby-massage-portlaoise/,087-6982073,carolle@tcd.ie,53.0367074,-7.2869803,drop-venue
elainesgiftoftouch,Baby Massage,"Claggarnagh West, County Mayo, F23 EN81, Ireland",https://elainesgiftoftouch.ie/infant-massage/,,,53.9315051,-9.4801885,full
Gentle Beginnings Baby Massage Kilkenny,Baby Massage,"Smithsland South, Kilkenny, R95 H1WT, Ireland",https://www.instagram.com/gentlebeginningskilkenny,0857205899,gentlebeginningskilkenny@gmail.com,52.6373584,-7.2475052,full
Gentle Touch Baby Massage with Roisin,Baby Massage,"Roscrea, County Tipperary, Ireland",https://totsspots.com/listing/gentle-touch-baby-massage-with-roisin/,0862384191,roisinkelly2009@hotmail.com,52.9551598,-7.7990264,full
Lasting Touch Baby Massage,Baby Massage,"Loughlackagh, County Roscommon, N37 HT68, Ireland Athlone, County Westmeath, N37 W7P3, Ireland Craughwell, County Galway, H91 X028, Ireland",https://totsspots.com/listing/lasting-touch-baby-massage/,,lastingtouchbabymassage@gmail.com,53.3411249,-6.2545,area-level
Little Laochra Baby Massage Roscommon,Baby Massage,"Roscommon, Ireland",https://www.instagram.com/little_laochra/,0877479400,,53.6312446,-8.19068,full
Little Lullabies Baby Massage,Baby Massage,"Carlow, R93 DK06, Ireland",https://totsspots.com/listing/little-lullabies-baby-massage/,0877599221,eileennail76@gmail.come,52.8408344,-6.9261131,full
Longford Baby Massage,Baby Massage,"Townparks, Longford, Ireland",https://longfordparish.com/familycentre.htm,0860442354,,53.7239328,-7.8008735,full
Midwife For You,Baby Massage,"New House, Ballyheyland, Portlaoise, Co. Laois, Ireland",https://www.midwifeforyou.com/,0852692847,helenmidwifeforyou@gmail.com,52.9807551,-7.2502308,drop-venue
Moo Music Monaghan,Baby Massage,"Kilmactrasna, County Monaghan, A81 NY04, Ireland",https://moomusic.app/,0858586294,susanalicemallon@gmail.com,53.9681758,-6.7267802,full
Zen Baby by Grace,Baby Massage,"Ardgeeha Upper, Clonmel, County Tipperary, E91 Y5Y0, Ireland",https://totsspots.com/listing/zen-baby-by-grace/,0863770022,graceokeeffe@yahoo.co.uk,52.372862,-7.7020845,full
Elaines Gift of Touch,"Baby Massage, For Parents","Claggarnagh West, County Mayo, F23 EN81, Ireland",https://elainesgiftoftouch.ie,,elainesgot@gmail.com,53.9315051,-9.4801885,full
Little Learners Holistics,"Baby Massage, For Parents","Galtee View, Mulberry Rd, Brigown, Mitchelstown, Co. Cork, Ireland",https://totsspots.com/listing/little-learners-holistics/,,littlelearnerssmp@gmail.com,51.9175359,-8.5859773,area-level
Kingscourt Mum and Baby Group,"Baby Massage, For Parents, Baby & Toddler Group","Dunaree Lane, Dunaree, Kingscourt, Co. Cavan, Ireland",https://totsspots.com/listing/kingscourt-mum-baby-group/,,,53.9067037,-6.8119487,drop-venue
Carndonagh Inishowen Toddler Group and More - Spraoi agus Sport,"Baby Massage, STEM, First Aid, Weaning, Reading/Writing, Social, For Parents, Baby & Toddler Group, Playgroups, Music, Breast Feeding","Churchland Quarters(Carrowtemple Moneyshandoney And Carrick), County Donegal, F93 AY6D, Ireland",https://spraoiagussport.ie/youngfamilies2/,,info@spraoiagussport.ie,55.2392038,-7.2904889,full
Bloom Baby Classes North West Ireland,"Baby Massage, Sensory/Messy Play, Movement & Play, Baby & Toddler Group","Drumacrin, County Donegal, F94 RH33, Ireland",https://www.bloombabyclasses.com/north-west-ireland/,089 4082728,trish@bloombabyclasses.com,54.4803441,-8.251896,full
BabyGrá - Baby Massage & Yoga Cork,"Baby Massage, Yoga & Wellness","Cork, T23 K2CA, Ireland",https://www.babygra.ie,,babygraclasses@gmail.com,51.8985136,-8.4726423,full
Lullababy Baby Classes,"Baby Massage, Yoga & Wellness","Ramstown Lower, County Wexford, Y25 X4P8, Ireland",https://totsspots.com/listing/lullababy-baby-classes/,0876401790,lullababy.ie@gmail.com,52.666298,-6.2980448,full
Mum2Mum Roscommon,"Breast Feeding, Baby & Toddler Group","Roscommon County Library, Ballypheasan, Roscommon, Ireland",https://totsspots.com/listing/mum2mum-roscommon/,,,53.6278184,-8.1886866,drop-venue
Your 4th Trimester,"Cookery, For Parents, Breast Feeding, Baby Massage, Yoga & Wellness","Crescent Shopping Centre, Dooradoyle Road, Dooradoyle Park, Dooradoyle, Limerick, Ireland",https://your4thtrimester.ie/,0874824998,cathie@your4thtrimester.ie,52.661252,-8.6301239,area-level
Dancing Tots,Dance,"Carlow, R93 DK06, Ireland",https://totsspots.com/listing/dancing-tots-toddler-dance-class-carlow/,0892224672,natalie_cummi27@hotmail.com,52.8408344,-6.9261131,full
Tots Ballet,Dance,"Terryland Retail Park, Headford Road, Galway, Ireland",https://www.galwaydancecentre.com,,christinadancecentre@gmail.com,53.2848541,-9.0447771,full
Jiving Babies & Mums,"Dance, For Parents","Bohola, Barleyhill, Co. Mayo, Ireland",https://sandraganleydance.ie,0862108029,jivingjuniors@gmail.com,53.9110949,-9.0523151,drop-venue
Dance Republic Tiny Dancer,"Dance, Movement & Play","Carlow, R93 V275, Ireland",https://totsspots.com/listing/dance-republic-tiny-dancer/,0830700225,robyncu@icloud.com,52.8408344,-6.9261131,full
"Baby Boppers - Music, movement & sensory baby/toddler classes","Dance, Sensory/Messy Play, Movement & Play","68 Castlefield Manor, Kilmoremoy, Ballina, Co. Mayo, F26 T2X4, Ireland",https://www.instagram.com/baby.boppers?igsh=MTZvM3c0ZGJsYjRwdw==,087 771 8559,maireadflatley@live.ie,54.126783,-9.1591173,drop-venue
Ability Fitness Sligo,"Fitness & Sports, Intellectual Disability Supported Inclusion","Snap Fitness Sligo, Unit 9",https://dostuff.ie/providerpages/ability-fitness-sligo/,0838958141,jenna.abilityfitnesssligo@gmail.com,53.3373964,-6.3442678,drop-venue
Football Fun & Development - Ballinfoile,Football,"Galway, H91 PN50, Ireland",https://thefootballfunfactory.co.uk,,jack@thefootballfunfactory.co.uk,53.2744122,-9.0490601,full
Football Fun & Development - Renmore,Football,"Galway, H91 W259, Ireland",https://thefootballfunfactory.co.uk,,jack@thefootballfunfactory.co.uk,53.2744122,-9.0490601,full
Fundamental Football,Football,"Cobh, County Cork, Ireland",https://totsspots.com/listing/fundamental-football/,085 1466288,hollyhenderson08@hotmail.com,51.8502284,-8.2950649,full
Little Kickers,Football,"Barnagore, County Cork, P31 KC53, Ireland Bishopstown, Cork, T12 ERX0, Ireland Blackrock, Cork, T12 XC91, Ireland Carrigtohill, County Cork, T45 X3N1, Ireland Townparks, Midleton, County Cork, P25 R248, Ireland Carrigoon, County Cork, P51 XV58, Ireland Carrigaline West, Carrigaline, County Cork, P43 PK51, Ireland Gouldavoher, Limerick, V94 FY29, Ireland Moneteen, County Limerick, V94 1X59, Ireland Park, Limerick, V94 X7P9, Ireland Monaclinoe, Limerick, V94 F6WN, Ireland Kilbarry, Waterford, X91 AX54, Ireland Bishopscourt, Waterford, X91 R863, Ireland Dungarvan, County Waterford, X35 P527, Ireland Burgagery-Lands West, Clonmel, County Tipperary, E91 NF43, Ireland",https://www.littlekickers.ie,0214377216,lbehan@littlekickers.ie,53.3411249,-6.2545,area-level
"Little Kickers County Laois, Carlow and Kilkenny",Football,"Holycross, County Tipperary, E41 HT96, Ireland Harpur's Ln, Knockmay, Portlaoise, Co. Laois, Ireland Main St, Cooltederry, Portarlington, Co. Laois, Ireland Sacred Heart Primary School, New Line, Parkmore, Roscrea, Co. Tipperary, Ireland Oxmantown Mall, Townparks, Birr, County Offaly, Ireland Athy Rd, Bestfield Or Dunganstown, Carlow, Co. Carlow, Ireland Upper New St, Walkinslough, Kilkenny, Ireland",https://www.littlekickers.ie/,0877453950,jnorton@littlekickers.ie,52.6506255,-7.2514438,area-level
Little Kickers Galway,Football,"Garraun Upper, County Galway, H91 V12C, Ireland, Glennagloghaun South, County Galway, H65 H393, Ireland Galway, H91 E622, Ireland Ballycuirke West, County Galway, H91 HF10, Ireland Newtown (Darcy), County Galway, H54 CP74, Ireland Moylough More, County Galway, H53 X6C1, Ireland Galway, H91 PN50, Ireland",https://www.littlekickers.ie/,0851813898,Galway@littlekickers.ie,53.3411249,-6.2545,area-level
Tots Football Fun - Salthill,Football,"Dr Mannix Road, Galway, Ireland",https://thefootballfunfactory.co.uk,,jack@thefootballfunfactory.co.uk,53.2648766,-9.0784089,full
Babywearing ireland,"For Parents, Baby & Toddler Group","CQ3V+MJ Cregganaharna, County Roscommon, Ireland Virginia, Cavan, Ireland Blanchardstown, Dublin, D15 XW56, Ireland Mullingar, County Westmeath, Ireland Barntown, County Wexford, Ireland Galway, Ireland",https://babywearingireland.org/,,secretarybabywearingireland@gmail.com,53.2936337,-9.0750599,area-level
Clonmel Mother and Baby Walking/Buggy Group,"For Parents, Baby & Toddler Group","Burgagery-Lands West, Clonmel, County Tipperary, E91 WV40, Ireland",https://totsspots.com/listing/clonmel-baby-buggy-walking-group/,,,52.359573,-7.703782,full
Kinvara Mum to-Be & New Mum Social Group,"For Parents, Baby & Toddler Group","Cartron, Kinvarra, County Galway, H91 P6PP, Ireland",https://totsspots.com/listing/kinvara-mum-social-group/,,,53.1350448,-8.9303245,full
Little Puckers - GAA class for preschoolers in Cork,GAA,"MHJ2+9W Bantry, County Cork, Ireland RJ77+W4 Carrigaline, County Cork, Ireland W23Q+RH Macroom, County Cork, Ireland 4PJ7+7W Fermoy, County Cork, Ireland WCMR+22 Cork, Ireland VHQ2+5R Cork, Ireland WRH9+54 Midleton, County Cork, Ireland Cappagh, Kinsale, Co. Cork, P17 WD21, Ireland",https://www.littlepuckers.ie/,,,51.7045261,-8.5368352,area-level
Universal Rhythmic Gymnastics Club -Salthill,Gymnastics,"Galway, H91 T0F6, Ireland",https://www.facebook.com/profile.php?id=61566883178839,0851767269,universal.rhythmicgymnastics@gmail.com,53.2744122,-9.0490601,full
Flying High Fitness,"Gymnastics, Movement & Play","Galway, H91 YC61, Ireland Monaclinoe, Limerick, V94 C796, Ireland",https://www.flyinghighfitness.com/?fbclid=PAZXh0bgNhZW0CMTEAAaZvOhCgrE1j5fODDoHXUHV844Fe7CTq_sJjrKqqNu29VmvfcMKTakBVjKE_aem_IrZUwBr2WDmhZRqIrOzXLQ,,info@flyinghighfitness.com,53.3411249,-6.2545,area-level
Stuntworx Elite Gymnastics and Cheerleading,"Gymnastics, Other","Galway, H91 HN76, Ireland",https://www.stuntworxelite.com,091771765,info@stuntworxelite.com,53.2936337,-9.0750599,full
Whitethorn Equestrian Centre,Horse Riding,"Knocknasnaa, County Limerick, V94 76C0, Ireland",https://totsspots.com/listing/whitethorn-equestrian-centre/,087 427 3298,xkatanicalx@gmail.com,52.4147349,-9.2926354,full
Master Doyle Taekwon-Do Schools,Martial Arts & Boxing,"Naas West, Naas, County Kildare, W91 VW90, Ireland Maynooth, County Kildare, W23 X0C6, Ireland Oldbawn, Dublin, D24 T854, Ireland Carlow, R93 K5P2, Ireland",http://masterdoyle.com/,+353876986491,info@masterdoyle.com,53.3411249,-6.2545,area-level
Galway Community Circus,"Movement & Play, Other, Social","Renmore Road, Galway, Ireland Shantalla, Galway, Ireland",https://www.galwaycommunitycircus.com/,+353 85 111 7224,info@galwaycircus.com,53.2744122,-9.0490601,area-level
Chime in & Play,"Movement & Play, Playgroups, Music, Sensory/Messy Play","Carlow, R93 DK06, Ireland St Wolstan's Abbey, Celbridge, County Kildare, Ireland De La Salle Pastoral Centre, Saint Patrick's Road, Ballynerrin Lower, Wicklow, Ireland 96 South Main Street, Gully, Bandon, County Cork, Ireland Cloheen, Clonakilty, County Cork, P85 RD23, Ireland",https://www.playandmusic.ie/Chimein/location/location.shtml,,,51.6163297,-8.8956012,area-level
Moo Music Wicklow,"Movement & Play, Playgroups, Music, Sensory/Messy Play","Wolfe Tone Community Centre, Vevay Road, Oldcourt, Bray, County Wicklow, Ireland Kilcoole Community Centre, Lott Ln, Kilcoole, Co. Wicklow, Ireland Newtown Mt. Kennedy Community Centre, Newtown Mount Kennedy, Co. Wicklow, A63 CX44, Ireland Angel Acrobatics, Killarney Rd, Bray, Co. Wicklow, A98 FW08, Ireland",https://moomusic.ie/areas/moo-music-co-wicklow/,0877373781,wendy@moomusic.ie,53.3411249,-6.2545,area-level
Ready Steady Play Midlands,"Movement & Play, Playgroups, Sign Language, Sensory/Messy Play","Ready Steady Play Athlone, Monksland Community Centre, Monksland, Cushla, Co. Roscommon Ready Steady Play Tullamore, Charleville Community Centre, Church St, Tullamore, Co. Offaly, R35 H660 Ready Steady Play Mullingar, Mullingar Charity Variety Group, Forest Park, Mullingar Business Park, Mullingar, Co. Westmeath Ready Steady Play Portlaoise, Portlaoise Parish Centre, Stradbally Rd, Borris Little, Portlaoise, Co. Laois, R32 FH67 Ready Steady Play Naas, Sallins Scouts Den, Oldbridge Park, Osberstown, Sallins, Co. Kildare",https://www.ready2play.ie,0579330452,midlands@ready2play.ie,53.249033,-6.665686,area-level
Mini Messers Sensory/Messy Play Classes,"Movement & Play, Social, Art & Crafts, STEM, Sensory/Messy Play","Belcarra, County Mayo, Ireland",https://www.instagram.com/mini_messers?igsh=MWJpZWpqc3YzZ2c4cg==,,minimessersmayo@gmail.com,53.8017945,-9.2161763,full
MACBabies Music Sensory class Killarney,"Music, Sensory/Messy Play, Movement & Play","2FXJ+7W Killarney, County Kerry, Ireland",https://www.themacademy.ie/,0876296152,info@themacademy.ie,52.1453345,-9.5174011,drop-venue
Ready Steady Play South East,"Music, Sign Language, Sensory/Messy Play, Movement & Play","Waterford, Ireland Danesfort, County Kilkenny, Ireland Wexford, Ireland Dungarvan, County Waterford, Ireland",https://www.ready2play.ie/,0860866248,jade@ready2play.ie,52.1509131,-7.6577982,area-level
The ImagiNation,Playgroups,"1st Floor Henry Lyons & Co Department Store Lower, O'Connell St, Rathedmond, Sligo, F91 V2AH, Ireland",https://www.theimagination.ie,0851397357,hello@theimagination.ie,53.3411249,-6.2545,area-level
Woodkids Forest School,"Playgroups, Adventure/Scouts, Other","Jenkinstown, County Kilkenny, R95 NN67, Ireland",https://woodkidsforestschool.com/,083 110 95 13,woodkids@protonmail.com,52.7284761,-7.2865406,full
Sugradh Creative/Messy Play Toddler Playgroup in Galway,"Playgroups, Art & Crafts, STEM, Sensory/Messy Play, Social, Baby & Toddler Group","Raheen, Athenry, County Galway, H65 E443, Ireland Loughrea, County Galway, Ireland Renmore Park, Galway, Ireland",https://www.sugradhcreativeclasses.com,,info@sugradhcreativeclasses.com,53.2744122,-9.0490601,area-level
Mohill Toddler Group /Kids Lego/Art/Social Club & Autism Playgroup,"Playgroups, Art & Crafts, STEM, Social, Baby & Toddler Group","Boeeshil, County Leitrim, N41 Y2F5, Ireland",https://mohillfamilysupportcentre.org/news/,0719631253,support@mohillfsc.info,53.9160038,-7.8658289,full
Art Room 109,"Playgroups, Art & Crafts, Sensory/Messy Play","Galway, Ireland",https://www.instagram.com/art_room_109/,,artroom109@gmail.com,53.2744122,-9.0490601,full
Carlow Parent & Toddler Messy Play Group - Visual Carlow,"Playgroups, Art & Crafts, Sensory/Messy Play, Baby & Toddler Group","Carlow, R93 A3K1, Ireland",https://visualcarlow.ticketsolve.com/ticketbooth/shows,+353 59 917 2400,boxoffice@visualcarlow.ie,52.8408344,-6.9261131,full
Lus Na Greine Family Resource Centre,"Playgroups, Art & Crafts, Social, Baby & Toddler Group","Granard, County Longford, N39 R7X4, Ireland",https://lusnagreinefrc.ie/services/,043-6660977,info@lngfrc.ie,53.779362,-7.4910079,full
"Limerick Library Toddler Group, Storytime & Art","Playgroups, Art & Crafts, Storytime, Baby & Toddler Group","Watch House Cross Shopping Centre, Kileely Road, Kileely, Watch House Cross, Limerick, Ireland",https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/watch-house-cross-community-library,+353 61 557 726,watchhousecrosslibrary@limerick.ie,52.661252,-8.6301239,area-level
Daingean Library,"Playgroups, Art & Crafts, Storytime, Reading/Writing","Townparks, County Offaly, R35 V6P5, Ireland",https://www.offaly.ie/daingean-library/,+353 (57) 9353005,daingeanlibrary@offalycoco.ie,53.2934752,-7.3058084,full
Drumlish Library - Toddler Group / Kids Book Club / Social Group,"Playgroups, Art & Crafts, Storytime, Reading/Writing, Social, Baby & Toddler Group","Drumlish, County Longford, N39 ER29, Ireland",https://longfordlibrary.ie/library/find-your-local-library/drumlish-library/,043 332 47 60,drumlishlibrary@longfordcoco.ie,53.8200862,-7.7693182,full
Edenderry Library,"Playgroups, Art & Crafts, Storytime, STEM, Reading/Writing","Edenderry, County Offaly, R45 RX48, Ireland",https://www.offaly.ie/edenderry-library/,+353 (46) 9731028,edenderrylibrary@offalycoco.ie,53.3433656,-7.0488576,full
"Abbeyfeale Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Abbeyfeale West, Abbeyfeale, County Limerick, V94 HXR2, Ireland",https://totsspots.com/listing/abbeyfeale-parent-toddler-group/,087 938 2883,,52.379385,-9.302526,full
"Abbeyleix Laois Parent, Baby & Toddler Group","Playgroups, Baby & Toddler Group","Tonduff, County Laois, R32 H244, Ireland",https://totsspots.com/listing/abbeyleix-laois-parent-baby-toddler-group/,0578714944,managerabbeyleixheritagehouse@gmail.com,52.9290829,-7.3542553,full
"Abbeyquarter Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Chapel St, Abbeyquarter North, Sligo, Ireland",https://www.theavaloncentre.ie/programmes,07191-61836,,54.2696059,-8.4643444,drop-venue
"Achill Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Dooniver, County Mayo, F28 K283, Ireland",https://totsspots.com/listing/achill-parent-baby-and-toddler-group/,,magscarey7@gmail.com,54.0021063,-9.9462526,full
"Adamstown/Raheen Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Courthoyle New, Raheen, County Wexford, Y21 T183, Ireland Adamstown, County Wexford, Y21 C8K1, Ireland",https://arcfrc.ie/parents-and-toddlers-groups/,089 4354670,,53.3411249,-6.2545,area-level
"Aghada Parent, Baby & Toddler Group","Playgroups, Baby & Toddler Group","Upper Aghada, Aghada, Co. Cork, Ireland",https://totsspots.com/listing/aghada-parent-baby-toddler-group/,086 3940973,,51.8331139,-8.2094935,full
Ardagh/Moydow Baby and Toddler group,"Playgroups, Baby & Toddler Group","Moor, County Longford, N39 FW52, Ireland",https://totsspots.com/listing/ardagh-moydow-baby-and-toddler-group/,0852566909,,53.6679082,-7.703702,full
"Ardara Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Ardara, County Donegal, Ireland",https://totsspots.com/listing/ardara-donegal-toddler-group/,,cosabeaga@hotmail.com,54.7636255,-8.4105918,full
Ardfert Parent and Toddler Group - Ardfert Community Centre -,"Playgroups, Baby & Toddler Group","86H9+75 Ardfert, County Kerry, Ireland",https://www.ardfertcommunitycentre.ie/groups_classes/parent-and-toddler-group/,,,52.1453345,-9.5174011,drop-venue
"Arvagh Parent, Toddler & Baby Group","Playgroups, Baby & Toddler Group","Drumalt, County Cavan, H12 P308, Ireland",https://totsspots.com/listing/arvagh-cavan-parent-toddler-group/,087 6893630,,53.9242864,-7.5768676,full
"Athenry Parent, Baby & Toddler Group","Playgroups, Baby & Toddler Group","Cross St, Athenry, County Galway, Ireland",https://totsspots.com/listing/athenry-parent-baby-toddler-group/,,athenryplaygroup@gmail.com,53.2980421,-8.7469539,full
Baby & Toddler Group Cork City,"Playgroups, Baby & Toddler Group","MacCurtain Street, Victorian Quarter, Cork, T23 KN76, Ireland",https://www.corkbaptistchurch.org/?fbclid=IwY2xjawKRz6dleHRuA2FlbQIxMABicmlkETF0Sm9qT3lTTEVuQlp3VFJZAR7ekHS_z3RoWvYykh0xZaYy12n4U58F_86FNFkodlrEGJXay4ux5nAs140p3g_aem_FvOhZKQVkjOnQPNzm0KGuA,,meabh.kenny@gmail.com,51.9013161,-8.465954,full
"Bailieborough Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Bailieborough, County Cavan, Ireland",https://totsspots.com/listing/bailieborough-parent-baby-and-toddler-group/,086 203 0942,,53.9168576,-6.9707125,full
"Ballaghaderreen Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Saint John's Terrace, an tSráid Nua, Ballaghaderreen, County Roscommon, Ireland",https://totsspots.com/listing/ballaghaderreen-parent-baby-and-toddler-group/,,,53.6982695,-8.2182508,area-level
"Ballina Parent, Baby and Toddler Group","Playgroups, Baby & Toddler Group","Abbeyhalfquarter, Ballina, County Mayo, F26 C6P6, Ireland",https://totsspots.com/listing/ballina-parent-baby-and-toddler-group/,,admin@ballinafrc.com,54.1130195,-9.1391942,full
